,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs,all_ratio,300pt_ratio,300pt450_ratio,450pt650_ratio,650pt_ratio
hw_nominal,1.0,0.0050686705491212,0.004056661361085163,0.0008106400128656009,0.0002013691751704359,942.2,4.775701391381995,3.822186334414441,0.7637850201219692,0.1897300368455847,1.0,1.0,1.0,1.0,1.0
hw_alphaS_up,1.0,0.005064038892409164,0.0040535247791250425,0.0008094462011709223,0.0002010679121131989,942.2,4.771337444427914,3.8192310468916153,0.762660210743243,0.18944618679305603,1.0,0.9990862186312663,0.9992268070511852,0.9985273220224369,0.9985039266462605
hw_alphaS_dn,1.0,0.005088880263999583,0.004071020554646422,0.0008145481539547322,0.00020331155539842857,942.2,4.794742984740408,3.8357155665878593,0.7674672706561487,0.1915601474963994,1.0,1.0039871825723388,1.0035396579312743,1.0048210562359439,1.009645866733817
hw_pdf4lhc_unc_0,1.0,0.0050686705491212,0.004056661361085163,0.0008106400128656009,0.0002013691751704359,942.2,4.775701391381995,3.822186334414441,0.7637850201219692,0.1897300368455847,1.0,1.0,1.0,1.0,1.0
hw_pdf4lhc_unc_1,1.0,0.005047081681636922,0.004038193534744188,0.0008112099443246632,0.0001976782025680708,942.2,4.755360360438308,3.804785948435974,0.7643220095426977,0.18625240245963634,1.0,0.9957407238692954,0.9954475306915845,1.000703063567079,0.9816706176640934
hw_pdf4lhc_unc_2,1.0,0.005053874826600421,0.004039932160044692,0.0008127479720864449,0.00020119469446928397,942.2,4.761760861622917,3.8064240811941095,0.7657711392998484,0.18956564112895938,1.0,0.9970809461026532,0.9958761159605406,1.0026003641411585,0.9991335282522549
hw_pdf4lhc_unc_3,1.0,0.005075013819100646,0.004064596152163412,0.0008108231971440715,0.00019959446979316294,942.2,4.78167802035663,3.829662494568367,0.7639576163491442,0.18805790943911813,1.0,1.0012514662213639,1.0019559904985824,1.0002259748785691,0.9911868071378309
hw_pdf4lhc_unc_4,1.0,0.005029138607575423,0.004030426185540727,0.000800673194649798,0.00019803922738489784,942.2,4.738454396057564,3.797467552016473,0.7543942839990397,0.18659256004205074,1.0,0.9922007277524417,0.9935328159761854,0.9877050009157945,0.983463468116609
hw_pdf4lhc_unc_5,1.0,0.00505185599063449,0.004044439180034028,0.0008082911651581092,0.0001991256454423533,942.2,4.759858714375817,3.8106705954280615,0.7615719358119706,0.1876161831357853,1.0,0.9966826491633739,0.9969871330231357,0.997102477461989,0.9888586238376171
hw_pdf4lhc_unc_6,1.0,0.005058758573023382,0.004047240054557077,0.0008108888219083938,0.0002006296965579114,942.2,4.766362327502631,3.813309579403678,0.7640194480020888,0.18903330009686412,1.0,0.9980444623492967,0.9976775713599211,1.00030692914098,0.9963277467273796
hw_pdf4lhc_unc_7,1.0,0.005051226540258375,0.0040439395798950745,0.0008079725168692377,0.00019931444349406246,942.2,4.759265646231441,3.8101998721771393,0.7612717053941959,0.18779406866010567,1.0,0.9965584646518703,0.9968639775278937,0.9967093951026009,0.9897961955963005
hw_pdf4lhc_unc_8,1.0,0.005084377779589841,0.0040662817255779984,0.0008151858292723784,0.00020291022473946423,942.2,4.790500743929548,3.83125064183959,0.7680680883404349,0.1911820137495232,1.0,1.0030988856577716,1.0023714980464284,1.0056076881656855,1.0076528573339192
hw_pdf4lhc_unc_9,1.0,0.0050676048798127945,0.004055765561273513,0.0008121548556563551,0.00019968446288292589,942.2,4.774697317759615,3.8213423118319043,0.7652123049994177,0.18814270092829277,1.0,0.9997897536843088,0.999779178064937,1.0018686997516928,0.9916337131237485
hw_pdf4lhc_unc_10,1.0,0.005067602558578719,0.004055827517161339,0.0008101008456657641,0.00020167419575161627,942.2,4.774695130692869,3.8214006866694135,0.763277016786283,0.19001742723717285,1.0,0.9997892957271278,0.9997944506948933,0.9993348870136192,1.0015147332302583
hw_pdf4lhc_unc_11,1.0,0.0050791431859948735,0.0040645886945656975,0.0008123580832696709,0.0002021964081595051,942.2,4.78556870984437,3.8296554680198005,0.7654037860566839,0.19050945576788572,1.0,1.0020661506350002,1.001954152140127,1.0021193999516465,1.0041080418011796
hw_pdf4lhc_unc_12,1.0,0.005091482041951646,0.004073209977038637,0.0008128210102992062,0.00020545105461380254,942.2,4.797194379926841,3.837778440365804,0.7658399559039121,0.19357598365712478,1.0,1.0045004883646267,1.0040793683476323,1.0026904635830836,1.020270627020803
hw_pdf4lhc_unc_13,1.0,0.005071897593376216,0.004060672096373408,0.000810264121432388,0.00020096137557042024,942.2,4.778741912479071,3.825965249203025,0.763430855213596,0.18934580806244997,1.0,1.0006366648263567,1.0009886788497357,0.9995363028875368,0.9979748658171217
hw_pdf4lhc_unc_14,1.0,0.005057276895019114,0.004045282347515802,0.0008116898132439379,0.00020030473425937403,942.2,4.764966290487009,3.8114650278293882,0.7647741420384383,0.18872712061918223,1.0,0.9977521415148867,0.9971949806610633,1.0012950265983367,0.9947139828617715
hw_pdf4lhc_unc_15,1.0,0.005052218349768504,0.004044987462303417,0.0008071672977528616,0.00020006358971222526,942.2,4.760200129151885,3.8111871869822793,0.7605130279427462,0.18849991422685863,1.0,0.996754139139,0.9971222890592417,0.995716082283598,0.9935164582309799
hw_pdf4lhc_unc_16,1.0,0.005085237135132348,0.0040702557090938115,0.0008119904265226104,0.00020299099951592587,942.2,4.791310428721699,3.8349949291081895,0.7650573798696035,0.19125811974390536,1.0,1.0032684282496958,1.0033511172855236,1.0016658610919484,1.0080539851450316
hw_pdf4lhc_unc_17,1.0,0.005052892512266269,0.004046077995402528,0.0008072485468584353,0.00019956597000530632,942.2,4.760835325057279,3.8122146872682623,0.7605895808500177,0.18803105693899963,1.0,0.996887144922515,0.9973911143325496,0.9958163106269862,0.9910452770956459
hw_pdf4lhc_unc_18,1.0,0.005056880906199832,0.004048104811520338,0.0008087039514401652,0.00020007214323932825,942.2,4.764593189821482,3.8141243534144627,0.7619608630469237,0.1885079733600951,1.0,0.9976740167254682,0.9978907409805249,0.9976116878087578,0.9935589350752921
hw_pdf4lhc_unc_19,1.0,0.0050551773662805485,0.004048625641553309,0.0008071831973887065,0.00019936852733853393,942.2,4.762988114509533,3.814615079471528,0.7605280085796392,0.18784502645836668,1.0,0.9973379246668556,0.998019129817209,0.9957356959661112,0.990064776149534
hw_pdf4lhc_unc_20,1.0,0.005070023693253834,0.0040565715610000235,0.0008119211326848075,0.00020153099956900242,942.2,4.776976323783762,3.8221017247742224,0.7649920912156257,0.18988250779391408,1.0,1.0002669623364786,0.9999778635490748,1.0015803806854757,1.000803620506612
hw_pdf4lhc_unc_21,1.0,0.005045833206357087,0.004038025600408409,0.0008074879006097587,0.00020031970533891894,942.2,4.754184047029648,3.8046277207048034,0.7608150999545147,0.18874122637032942,1.0,0.9954944116918247,0.9954061335127642,0.9961115757847931,0.9947883292930574
hw_pdf4lhc_unc_22,1.0,0.005072226163572955,0.004060449244188226,0.0008104072311996878,0.00020136968818504027,942.2,4.779051491318438,3.825755277874147,0.7635656932363459,0.18973052020794495,1.0,1.0007014885692997,1.0009337439746386,0.9997128421220041,1.0000025476322478
hw_pdf4lhc_unc_23,1.0,0.0050640042495662865,0.004055328032744853,0.0008087133020883751,0.00019996291473305824,942.2,4.771304803941355,3.820930072452201,0.7619696732276671,0.18840505826148748,1.0,0.999079383931212,0.9996713237261803,0.9976232227047184,0.993016505946417
hw_pdf4lhc_unc_24,1.0,0.005078436323833219,0.004063570102500165,0.0008127144144654392,0.0002021518068676152,942.2,4.78490270431566,3.828695750575656,0.7657395213093368,0.19046743243066705,1.0,1.0019266935219755,1.0017030609163675,1.002558967688389,1.0038865516359041
hw_pdf4lhc_unc_25,1.0,0.005074095523023419,0.004060979537842465,0.0008110396194366116,0.00020207636574434186,942.2,4.780812801792665,3.826254920555171,0.7641615294331755,0.1903963518043189,1.0,1.0010702952282349,1.0010644656708902,1.0004929519449677,1.0035119107644326
hw_pdf4lhc_unc_26,1.0,0.005069784363452151,0.004052680845693458,0.0008164206580098317,0.00020068285974886042,942.2,4.776750827244617,3.8184358928123765,0.7692315439768634,0.18908339045537628,1.0,1.0002197448660664,0.9990187706004033,1.007130964487919,0.9965917553121296
