,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs,all_ratio,300pt_ratio,300pt450_ratio,450pt650_ratio,650pt_ratio
hw_nominal,1.0,0.04825341315192868,0.03775099026460779,0.008708872002128778,0.001793550885192112,506.49999999999994,24.440353761451874,19.120876569023846,4.411043669078225,0.9084335233498047,1.0,1.0,1.0,1.0,1.0
hw_alphaS_up,1.0,0.04834755298428206,0.03781084433686803,0.008734940881793381,0.0018017677656206495,506.49999999999994,24.48803558653886,19.151192656623653,4.424247556628347,0.9125953732868588,1.0,1.0019509466005436,1.0015854967469913,1.0029933703995457,1.004581347814761
hw_alphaS_dn,1.0,0.04822829544112153,0.037735458845581334,0.008701985185416984,0.0017908514101232101,506.49999999999994,24.427631640928052,19.113009905286944,4.4075554964137025,0.9070662392274058,1.0,0.9994794625050033,0.9995885824737949,0.9992092182879586,0.9984948990902967
hw_pdf4lhc_unc_0,1.0,0.04825380343085098,0.037745503080340394,0.008709158281703515,0.001799142068807069,506.49999999999994,24.44055143772602,19.118097310192407,4.411188669682829,0.9112654578507804,1.0,1.0000080881101834,0.9998546479382676,1.0000328721761746,1.0031173822059463
hw_pdf4lhc_unc_1,1.0,0.048066647981127794,0.03762579183599029,0.008663702337416642,0.001777153807720864,506.49999999999994,24.345757202441224,19.05746356492908,4.388165233901529,0.9001284036106175,1.0,0.9961294930534169,0.9966835723317468,0.9948133736836304,0.9908577573089087
hw_pdf4lhc_unc_2,1.0,0.048196743739592186,0.037715387149054404,0.008694684550077025,0.0017866720404607584,506.49999999999994,24.41165070410344,19.102843590996052,4.403857724614013,0.904949388493374,1.0,0.9988255874841834,0.9990568958508417,0.9983709196726873,0.9961646782435076
hw_pdf4lhc_unc_3,1.0,0.04815841804097075,0.03769456232149534,0.008680206406040603,0.0017836493134348074,506.49999999999994,24.392238737751683,19.092295815837385,4.396524544659565,0.9034183772547298,1.0,0.9980313286718427,0.998505259260302,0.9967084605123181,0.9944793471771257
hw_pdf4lhc_unc_4,1.0,0.04760687540359461,0.0373128567356617,0.008546845661705691,0.0017471730062272206,506.49999999999994,24.112882391920667,18.898961936612647,4.328977327653932,0.8849431276540871,1.0,0.9866012017367889,0.988394118250274,0.9813952552772068,0.974141866089334
hw_pdf4lhc_unc_5,1.0,0.0481047879808886,0.037664399828672625,0.00866317454217609,0.0017772136100398922,506.49999999999994,24.365075112320074,19.077018513222683,4.3878979056121885,0.9001586934852053,1.0,0.9969199034569405,0.997706273787039,0.9947527693665129,0.9908911002820698
hw_pdf4lhc_unc_6,1.0,0.04824766518974843,0.03774715244013787,0.00870843707937987,0.0017920756702306869,506.49999999999994,24.437442418607574,19.11893271092983,4.410823380705904,0.9076863269718428,1.0,0.9998808796765909,0.9998983384424349,0.9999500598069645,0.9991774892066878
