,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs,all_ratio,300pt_ratio,300pt450_ratio,450pt650_ratio,650pt_ratio
hw_nominal,1.0,0.01174255904796241,0.009307813100986688,0.0019778933424277733,0.0004568526045479486,883.9,10.379247942493974,8.227175999962133,1.7482599253719089,0.40381201715993176,1.0,1.0,1.0,1.0,1.0
hw_alphaS_up,1.0,0.01168379449902496,0.009267799209803045,0.0019638608564176646,0.0004521344328042505,883.9,10.32730595768816,8.191807721544912,1.7358566109875737,0.39964162515567697,1.0,0.9949955926389276,0.9957010426885988,0.9929053373561163,0.9896724420595857
hw_alphaS_dn,1.0,0.011786535677202389,0.009337549269220794,0.0019881535611717396,0.00046083284680985525,883.9,10.418118885079192,8.25345979906426,1.7573289327197006,0.40733015329523103,1.0,1.0037450634959855,1.003194753473397,1.0051874479396206,1.0087123116346137
hw_pdf4lhc_unc_0,1.0,0.011850339834153133,0.009377933043431154,0.0020042460698077103,0.0004681607209142681,883.9,10.474515379407954,8.289155017088797,1.771553101103035,0.41380726121612155,1.0,1.0091786454511742,1.0075334497678121,1.0133236341994003,1.0247522204180246
hw_pdf4lhc_unc_1,1.0,0.011676235755349415,0.009256618053957204,0.0019641223456380156,0.0004554953557541963,883.9,10.320624784153347,8.181924697892773,1.736087741309442,0.4026123449511341,1.0,0.9943518876641712,0.9944997770717962,0.9930375432818564,0.9970291319777081
hw_pdf4lhc_unc_2,1.0,0.011738031055912224,0.009305479287939702,0.001975622054971517,0.0004569297130010053,883.9,10.375245650320814,8.225113142609903,1.746252334389324,0.4038801733215886,1.0,0.999614394781266,0.999749263009295,0.9988516633290913,1.0001687819053435
hw_pdf4lhc_unc_3,1.0,0.011686064358202318,0.009265995051853593,0.001967673067465428,0.00045239623888329697,883.9,10.329312286215028,8.19021302633339,1.7392262243326917,0.39987303554894615,1.0,0.9951888945561748,0.9955072100525244,0.9948327471744253,0.9902455067120365
hw_pdf4lhc_unc_4,1.0,0.011674716608194028,0.009258164331687371,0.001963669155670959,0.00045288312083569806,883.9,10.3192820099827,8.183291452778468,1.7356871666975606,0.4003033905066735,1.0,0.9942225166174358,0.9946659039281683,0.9928084156755619,0.9913112376448454
hw_pdf4lhc_unc_5,1.0,0.011789856556190555,0.00933857042902124,0.0019911922003643195,0.0004600939268049955,883.9,10.421054210016832,8.254362402211873,1.7600147859020219,0.40667702190293553,1.0,1.0040278705889372,1.0033044634331227,1.006723748774149,1.0070948971829856
hw_pdf4lhc_unc_6,1.0,0.011733718998379182,0.009302364566365113,0.0019753763353266484,0.0004559780966874206,883.9,10.371434222667359,8.222360040210123,1.7460351427952245,0.40303903966201104,1.0,0.9992471786135271,0.999414627844107,0.998727430318343,0.9980857986759355
hw_pdf4lhc_unc_7,1.0,0.011731060639030554,0.009300143899145859,0.001974799131562055,0.00045611760832264055,883.9,10.369084498839106,8.220397192455025,1.7455249523877001,0.40316235399638195,1.0,0.9990207919002246,0.9991760468589538,0.9984356027702078,0.998391174269357
hw_pdf4lhc_unc_8,1.0,0.011724270873775526,0.009294983887182919,0.0019738595337202266,0.0004554274528723812,883.9,10.363083025330187,8.215836257880982,1.7446944418553083,0.40255232559389775,1.0,0.9984425733681912,0.9986216726029438,0.9979605529676361,0.9968805000532337
hw_pdf4lhc_unc_9,1.0,0.011751776834560582,0.0093151571751565,0.001979217974400847,0.00045740168500323514,883.9,10.387395544068099,8.23366742712083,1.7494307675729086,0.4042973493743595,1.0,1.0007849895887704,1.0007890225222758,1.0006697186064886,1.0012018766005064
hw_pdf4lhc_unc_10,1.0,0.01173233663033486,0.009298979871311659,0.001976622872454281,0.0004567338865689206,883.9,10.370212347552982,8.219368308252376,1.747136956962339,0.4037070823382689,1.0,0.9991294557186559,0.9990509876402555,0.9993576650741274,0.9997401394282398
hw_pdf4lhc_unc_11,1.0,0.01172636652247185,0.009299540212307496,0.0019717346936716797,0.0004550916164926747,883.9,10.36493536921287,8.219863593658596,1.7428162957363977,0.40225547981787513,1.0,0.9986210394664041,0.9991111887841502,0.9968862584124308,0.9961453912317817
hw_pdf4lhc_unc_12,1.0,0.011737928478578127,0.00930545067385837,0.0019760132946072323,0.00045646451011252445,883.9,10.375154982215205,8.225087850623414,1.7465981511033326,0.40346898048846036,1.0,0.999605659263422,0.9997461888090483,0.9990494695643025,0.9991505040541289
hw_pdf4lhc_unc_13,1.0,0.0117630575311824,0.009322352682765742,0.0019826100083759203,0.0004580948400407383,883.9,10.397366551812123,8.240027536296639,1.7524289864034759,0.4049100291120086,1.0,1.0017456572401522,1.0015620835551062,1.0023846917561072,1.0027191165825111
hw_pdf4lhc_unc_14,1.0,0.011683213798300384,0.009269741089448995,0.0019627344456059305,0.00045073826324545826,883.9,10.326792676317709,8.193524148963967,1.7348609764710818,0.39840755088266055,1.0,0.9949461399836586,0.9959096716785539,0.9923358370764138,0.9866163807722177
hw_pdf4lhc_unc_15,1.0,0.011732384826676082,0.009297876099979955,0.001978480547228908,0.0004560281794672189,883.9,10.370254948298989,8.218392684772281,1.7487789556956317,0.40308330783107477,1.0,0.9991335601341436,0.9989324021766531,1.0002968839565505,0.9981954243611122
hw_pdf4lhc_unc_16,1.0,0.01178204442822349,0.00933702083727815,0.001985704909495876,0.0004593186814494653,883.9,10.414149070106742,8.252992718070155,1.7551645695034048,0.40599178253318235,1.0,1.0033625873286907,1.0031379805303962,1.0039494379704592,1.0053979705422864
hw_pdf4lhc_unc_17,1.0,0.011720181236261321,0.009293403661896887,0.0019715320662397886,0.00045524550812464496,883.9,10.359468194731381,8.214439496750657,1.7426371933493492,0.4023915046313737,1.0,0.998094298558799,0.9984518985358362,0.9967838123262114,0.9964822430532188
hw_pdf4lhc_unc_18,1.0,0.011730988925705428,0.00930048186341563,0.0019743642915678134,0.0004561427707219851,883.9,10.369021111431028,8.220695919073075,1.7451405973167902,0.4031845950411626,1.0,0.9990146847710347,0.9992123565985355,0.9982157526979548,0.9984462519882843
hw_pdf4lhc_unc_19,1.0,0.011763676345865766,0.009326088042097273,0.0019810926590651872,0.00045649564470330394,883.9,10.39791352211075,8.24332922040978,1.751087801347719,0.40349650035325035,1.0,1.0017983556920687,1.0019633979445342,1.0016175374924348,0.9992186542418908
hw_pdf4lhc_unc_20,1.0,0.011741737802332446,0.009306815310460046,0.0019773929900636414,0.0004575295018087569,883.9,10.378522043481649,8.226294052915634,1.7478176639172527,0.4044103266487602,1.0,0.9999300624653783,0.9998928007561158,0.9997470276311675,1.0014816535006472
hw_pdf4lhc_unc_21,1.0,0.011767418239514323,0.009324545486287935,0.001983961327521042,0.0004589114257053454,883.9,10.401220981906711,8.241965755329906,1.7536234173958491,0.40563180918095476,1.0,1.0021170165251354,1.0017976709587642,1.0030679030881517,1.0045065326035165
hw_pdf4lhc_unc_22,1.0,0.011745537145961176,0.009310144945644229,0.00197828443681271,0.0004571077635042379,883.9,10.381880283315082,8.229237117454934,1.7486056136987542,0.40403755216139586,1.0,1.000253615756719,1.0002505255135918,1.0001977327980975,1.0005585148333385
hw_pdf4lhc_unc_23,1.0,0.011760739862138056,0.009319897739335645,0.0019828232809680356,0.00045801884183437617,883.9,10.395317964143828,8.237857611798777,1.7526174980476465,0.4048428542974051,1.0,1.0015482838196843,1.0012983327251894,1.002492519912227,1.0025527648848178
hw_pdf4lhc_unc_24,1.0,0.011734446501257214,0.009300924477504326,0.0019773492287489098,0.0004561727950039769,883.9,10.37207726246125,8.221087145666074,1.7477789832911612,0.40321113350401516,1.0,0.9993091329860841,0.9992599095611803,0.9997249024165299,0.9985119718324812
hw_pdf4lhc_unc_25,1.0,0.011756309943446884,0.009317505883190774,0.001980614695028156,0.0004581893652279526,883.9,10.391402359012702,8.235743450152325,1.750665328935387,0.4049935799249873,1.0,1.001171030558868,1.0010413597801033,1.001375884402868,1.0029260217993652
hw_pdf4lhc_unc_26,1.0,0.011690606642320892,0.00927296528826801,0.001964511387661406,0.0004531299663914759,883.9,10.333327211147436,8.196374018300093,1.7364316155539168,0.4005215772934255,1.0,0.9955757168919213,0.9962560687090951,0.9932342384296913,0.9918515553607137
hw_pdf4lhc_unc_27,1.0,0.011757001932744652,0.009320154377425534,0.001979897969533976,0.0004569495857851409,883.9,10.392014008352998,8.23808445420643,1.7500318152710814,0.403897738875486,1.0,1.001229960583826,1.001325905054705,1.0010135162817941,1.0002122812395657
