all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs
1.0,0.01259213617017927,0.010690748607592329,0.0016285222410078377,0.00027286532157910374,3779.0,47.58568258710746,40.40033898809141,6.154185548768619,1.0311580502474331
1.0,0.012520635187363394,0.010635176629226393,0.001615450988110099,0.0002700075700269017,3779.0,47.31548037304627,40.19033248184654,6.104789284068064,1.0203586071316615
1.0,0.012656013662107283,0.010740634313486777,0.001640238209693013,0.00027514113892749436,3779.0,47.82707562910342,40.58885707066653,6.198460194429896,1.0397583640070012
1.0,0.012631532847310077,0.010721436396684606,0.0016357509942942507,0.00027434545633121994,3779.0,47.73456262998478,40.51630814307113,6.181503007437973,1.0367514794756802
1.0,0.012543626323473403,0.010653833872034677,0.0016197666342674106,0.00027002581717131533,3779.0,47.40236387640599,40.260838202419045,6.121098110896545,1.0204275630904007
1.0,0.0125827569176605,0.010684140399935057,0.001627274489121559,0.00027134202860388455,3779.0,47.55023839183903,40.37536657135458,6.149470294390372,1.0254015260940796
1.0,0.012510323164906714,0.010629556584583982,0.0016123509304329857,0.00026841564988974644,3779.0,47.27651124018247,40.169094333142866,6.093074166106253,1.0143427409333519
1.0,0.012541950981529014,0.010649871471289733,0.0016207853229940957,0.0002712941872451859,3779.0,47.39603275919814,40.2458642900039,6.124947735594688,1.0252207335995573
1.0,0.012622089917886915,0.010715172058432754,0.0016331645957164615,0.00027375326373769965,3779.0,47.69887779969465,40.492635208817376,6.171729007212508,1.034513583664767
1.0,0.012588387319751095,0.01068722095908162,0.0016288139142909734,0.00027235244637850145,3779.0,47.571515681339385,40.38700800436944,6.155287782105589,1.029219894864357
1.0,0.012600517557797385,0.010695313751115229,0.0016312496531525678,0.00027395415352958843,3779.0,47.61735585091632,40.41759066546445,6.164492439263554,1.0352727461883147
1.0,0.012579790085595864,0.010681938074580873,0.0016259330948969256,0.00027191891611806596,3779.0,47.53902673346677,40.36704398384112,6.1444011656154816,1.0275815840101712
1.0,0.01260728231485699,0.010701768556646975,0.0016315587501734314,0.0002739550080365845,3779.0,47.64291986784457,40.44198337556892,6.1656605169053975,1.035275975370253
1.0,0.012562953173289919,0.010665397758325796,0.0016252028768057672,0.00027235253815835545,3779.0,47.475400041862606,40.30453812871318,6.141641671448994,1.0292202417004253
1.0,0.01261173973390897,0.010705763863893604,0.0016327843502321378,0.0002731915197832288,3779.0,47.659764454442,40.45708164165393,6.170292059527249,1.0323907532608216
1.0,0.012591105345938094,0.010690194486910772,0.0016281688669673663,0.00027274199205995546,3779.0,47.581787102300055,40.39824496603581,6.152850148269677,1.0306919879945717
1.0,0.01259179793130069,0.010690960456025361,0.0016280761326577348,0.0002727613426175946,3779.0,47.58440438238531,40.40113956331984,6.15249970531358,1.03076511375189
1.0,0.012561841923997879,0.010666771973233574,0.0016240260975142753,0.00027104385325002966,3779.0,47.47120063078798,40.309731286849676,6.137194622506446,1.0242747214318622
1.0,0.012570227283391735,0.010675159243604727,0.001622979882517098,0.00027208815726990996,3779.0,47.50288890393737,40.341426781582264,6.133240976032113,1.0282211463229898
1.0,0.012632562039037938,0.01072303889983699,0.0016349677909365578,0.0002745553482643901,3779.0,47.73845194552437,40.52236400248399,6.178543281949252,1.03754466109113
1.0,0.01257074411284812,0.010673601154309303,0.00162522440134266,0.0002719185571961585,3779.0,47.504842002453046,40.33553876213485,6.141723012673912,1.0275802276442831
1.0,0.012604181183662305,0.010698670927921343,0.0016314759817687829,0.00027403427397218065,3779.0,47.63120069305985,40.43027743661475,6.1653477351042305,1.0355755213408706
1.0,0.012584053894433612,0.01068378829634035,0.0016272414724792402,0.00027302412561402344,3779.0,47.555139667064616,40.37403597187018,6.149345524499049,1.0317581706953947
1.0,0.012596504478643626,0.010694572543740028,0.0016294663343457152,0.0002724656005578833,3779.0,47.602190424794266,40.414789642793565,6.157753277492458,1.0296475045082412
1.0,0.012611446278265923,0.010706097919378285,0.0016316653067878944,0.0002736830520997451,3779.0,47.658655485566925,40.45834403733054,6.166063194351453,1.0342482538849367
1.0,0.012593494874009549,0.01069225915262954,0.0016283163428354951,0.00027291937854451463,3779.0,47.59081712888209,40.40604733778703,6.153407459575336,1.0313623315197207
1.0,0.012578135387515123,0.0106805599562903,0.0016258382407311799,0.0002717371904936437,3779.0,47.53277362941965,40.36183607482104,6.144042711723129,1.0268948428754794
1.0,0.012600512858451195,0.010695282107130116,0.0016314443326939437,0.00027378641862713533,3779.0,47.61733809208707,40.417471082844706,6.165228133250413,1.0346388759919445
1.0,0.012610993855463824,0.010704524887463268,0.0016323361616370708,0.00027413280636348554,3779.0,47.65694577979779,40.45239954972369,6.16859835482649,1.035947875247612
1.0,0.012590496118354865,0.01068865423674582,0.0016286605572519645,0.0002731813243570806,3779.0,47.57948483126304,40.39242436066245,6.154708245855174,1.0323522247454076
1.0,0.012591484211043245,0.01069093817507561,0.0016280857107360774,0.00027246032523155835,3779.0,47.58321883353243,40.40105536361073,6.152535900871636,1.029627569050059
1.0,0.012596425940317955,0.010692897068622802,0.0016299259678353242,0.0002736029038598285,3779.0,47.60189362846155,40.40845802232557,6.1594902324496905,1.033945373686292
1.0,0.012576783341656142,0.010679222713797025,0.0016251695667339598,0.0002723910611251563,3779.0,47.52766424811856,40.35678263543896,6.141515792687634,1.0293658199919655
1.0,0.012402810025371759,0.010571144518715258,0.0015762899774849116,0.0002553755291715883,3779.0,46.870219085879874,39.94835513622496,5.956799824915481,0.9650641247394321
1.0,0.012457319065828905,0.010591889604444233,0.0015992109460885168,0.0002662185152961538,3779.0,47.07620874976743,40.02675081519475,6.043418165268505,1.0060397693041652
1.0,0.012516676002812858,0.01062605946768879,0.001617617172540016,0.00027299936258405193,3779.0,47.300518614629794,40.15587872839594,6.11297529502872,1.0316645912051323
1.0,0.012666216312847324,0.010768132598399644,0.0016296515894223581,0.0002684321250253204,3779.0,47.865631446250035,40.69277308935225,6.158453356427091,1.014405000470686
1.0,0.012547773108891503,0.010644705733433802,0.0016280896197785296,0.0002749777556791715,3779.0,47.41803457850099,40.22634296664634,6.152550673143064,1.039140938711589
1.0,0.012875384242714718,0.010924558049942003,0.001672026082447858,0.00027880011032485754,3779.0,48.65607705321892,41.28390487073083,6.318586565570456,1.0535856169176367
1.0,0.012699533205020458,0.010769500999526218,0.0016518718481233169,0.00027816035737092306,3779.0,47.99153598177231,40.69794427720958,6.242423714058014,1.0511679905047182
1.0,0.012572670475728898,0.010659634701330115,0.0016364737837628782,0.00027656199063590576,3779.0,47.51212172777951,40.2827595363265,6.1842344288399165,1.045127762613088
