,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs,all_ratio,300pt_ratio,300pt450_ratio,450pt650_ratio,650pt_ratio
hw_nominal,1.0,0.011343257011015259,0.009008073850548274,0.0018848971493520099,0.00045028601111497487,1369.0,15.52891884807989,12.332053101400588,2.5804241974629014,0.6164415492164006,1.0,1.0,1.0,1.0,1.0
hw_alphaS_up,1.0,0.01128665411090054,0.008969119591186313,0.0018706050771606217,0.00044692944255360687,1369.0,15.45142947782284,12.278724720334063,2.5608583506328912,0.6118464068558878,1.0,0.9950099958010515,0.9956756283298465,0.9924175851205984,0.9925456965606001
hw_alphaS_dn,1.0,0.011389172803304573,0.009037875710670124,0.0018958382154469812,0.00045545887718746747,1369.0,15.59177756772396,12.3728518479074,2.5954025169469173,0.6235232028696429,1.0,1.004047849065284,1.0033083498888096,1.0058045958097674,1.0114879564205954
hw_pdf4lhc_unc_0,1.0,0.011431061144526524,0.00906484656154031,0.0019075460372128532,0.0004586685457733601,1369.0,15.649122706856812,12.409774942748685,2.611430524944396,0.62791723916373,1.0,1.007740645691621,1.0063024251281623,1.012015980749204,1.0186160228198715
hw_pdf4lhc_unc_1,1.0,0.011289028865430645,0.00896293790060887,0.0018757089755996694,0.00045038198922210627,1369.0,15.454680516774554,12.270261985933542,2.5678455875959476,0.6165729432450635,1.0,0.9952193496513432,0.994989389442377,0.9951253712938666,1.0002131492090856
hw_pdf4lhc_unc_2,1.0,0.011339668210041337,0.009006630865729653,0.0018836389030429134,0.00044939844126876924,1369.0,15.524005779546592,12.330077655183894,2.5787016582657483,0.6152264660969451,1.0,0.9996836181204009,0.9998398120572098,0.9993324589039094,0.9980288753718822
hw_pdf4lhc_unc_3,1.0,0.011305124412029348,0.008976236282848792,0.001877241149927799,0.0004516469792527583,1369.0,15.476715320068177,12.288467471219995,2.569943134251157,0.6183047145970261,1.0,0.9966383024779496,0.9964656631120375,0.9959382402234292,1.003022452628305
hw_pdf4lhc_unc_4,1.0,0.011277382052138685,0.008959383775772588,0.0018717622495730735,0.0004462360267930225,1369.0,15.438736029377859,12.265396389032674,2.5624425196655376,0.6108971206796477,1.0,0.9941925887059948,0.9945948406303615,0.9930315031865522,0.9910057514069246
hw_pdf4lhc_unc_5,1.0,0.011380190283835146,0.00903115113856824,0.0018948025891763597,0.0004542365560905485,1369.0,15.579480498570316,12.36364590869992,2.5939847445824364,0.621849845287961,1.0,1.003255967204483,1.0025618448963494,1.0052551619740924,1.0087734126267691
hw_pdf4lhc_unc_6,1.0,0.0113328627370509,0.00900267709701409,0.0018822684651177697,0.00044791717491903964,1369.0,15.514689087022683,12.32466494581229,2.5768255287462267,0.6131986124641653,1.0,0.9990836605435048,0.9994008981693844,0.998605396461476,0.9947392631850374
hw_pdf4lhc_unc_7,1.0,0.011331518930700949,0.00900100643318306,0.0018818672586671953,0.00044864523885069406,1369.0,15.5128494161296,12.322377807027609,2.57627627711539,0.6141953319866001,1.0,0.9989651931272552,0.9992154352326069,0.9983925432292917,0.9963561553684113
hw_pdf4lhc_unc_8,1.0,0.011318756303350427,0.008990013031945973,0.0018798224292606496,0.00044892084214380343,1369.0,15.495377379286735,12.307327840734038,2.573476905657829,0.6145726328948669,1.0,0.997840064133164,0.9979950410152109,0.9973076939009087,0.9969682181158791
hw_pdf4lhc_unc_9,1.0,0.011349681494448325,0.009014692314184058,0.0018860643278115945,0.0004489248524526703,1369.0,15.537713965899757,12.341113778117975,2.582022064774073,0.6145781230077056,1.0,1.0005663702609249,1.0007347257300052,1.0006192266034175,0.9969771242527963
hw_pdf4lhc_unc_10,1.0,0.011335785222111648,0.009002420550690437,0.0018836507839336343,0.0004497138874875776,1369.0,15.518689969070845,12.324313733895208,2.5787179232051454,0.6156583119704937,1.0,0.9993413012773708,0.9993724185712028,0.999338762107628,0.9987294217158099
hw_pdf4lhc_unc_11,1.0,0.011330867150049941,0.009003034887435627,0.0018808568952932956,0.00044697536732101866,1369.0,15.51195712841837,12.325154760899373,2.5748930896565216,0.6119092778624745,1.0,0.9989077333826355,0.9994406170290954,0.9978565121921357,0.9926476867763256
hw_pdf4lhc_unc_12,1.0,0.011338202111766718,0.00900478766559383,0.0018832118580520767,0.00045020258812081114,1369.0,15.521998691008637,12.327554314197954,2.5781170336732933,0.6163273431373905,1.0,0.999554369680275,0.9996351956024158,0.9991058974753543,0.9998147333203686
