,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,1.0,7.863099354831493e-06,0.07042065520451583,0.07386619761215153,0.34226333855867,0.005083015638838436,0.010031235677925823,0.07526411612426834,0.008100058176401782,0.01283808844539785,0.03647658257479362,0.10298505077822517,0.031256385914710555,0.05449297732216692,0.014289017642314137,0.05048849156176805,0.011606988239899696,0.05279528153106041,0.008763007568154832,0.005463379732470643,0.0042659004598869805,0.004904426870460279,0.002909126036531282,0.006108866471810984,0.0031424616581502123,0.008915483874313616,0.003262003225758086
hw_alphaS_up,1.0,7.937028658193339e-06,0.07027550281772495,0.0741053476888276,0.34261185293305324,0.005088653812711552,0.010036763324569768,0.07527818882162189,0.008103138496540775,0.012846751725495943,0.03650077226130209,0.1030106679526208,0.03127793819386379,0.05447026671919453,0.014289756874611247,0.05040513245018902,0.011595889944915578,0.05255766969981796,0.008734098318055843,0.005447045125588515,0.00425583219450923,0.004888446159670251,0.002901694970617797,0.006084753283995662,0.003131296735614672,0.008852935099664611,0.0032416673665645276
hw_alphaS_dn,1.0,7.826381923292408e-06,0.07049816001124493,0.07364574418711672,0.34195797747646894,0.005078211128357635,0.010029787648170682,0.07527693608418788,0.008098502258278323,0.012833290178191391,0.036467269770817226,0.10298038760446426,0.031246237437085874,0.054513774178879135,0.014291953984064644,0.05056215352513976,0.011619491850235536,0.052981433653730564,0.008786635030267208,0.005480088640494602,0.004276553485884457,0.004919987787088455,0.002916993076967183,0.006131929204063093,0.0031533609565951018,0.008966146741855344,0.003279167718427733
hw_pdf4lhc_unc_0,1.0,7.848374580470318e-06,0.07034315544297576,0.07376653597692713,0.34216267232143177,0.005082904394698835,0.010013816063879055,0.0751125048567207,0.008102047011407695,0.012834456534879758,0.03643749401206875,0.10292139161686076,0.031243561784917495,0.05453233001967179,0.014303115280689043,0.050588243127111965,0.01163308964157515,0.05304035572796472,0.008801262969990824,0.0054673445331769235,0.004269123137341782,0.0049116020892932735,0.002912768211406628,0.006124259176847683,0.003150328308291312,0.008960907579765143,0.003276881805525552
hw_pdf4lhc_unc_1,1.0,8.190013521184538e-06,0.06990110501378444,0.07396383368972669,0.3425418373017692,0.005089702190190199,0.010049797967555021,0.07536572648849657,0.008109532271104251,0.012858247670053606,0.03655830305504221,0.10310398803231688,0.031329504909369754,0.05452761821008917,0.014312136869404458,0.05045796381204813,0.011618414088372787,0.052570720165811304,0.008740353281951696,0.005464769469676212,0.004267608019020103,0.004904150088689633,0.00290910079129406,0.006098283932889123,0.0031399739615773892,0.008865313921757774,0.0032438247844882224
hw_pdf4lhc_unc_2,1.0,7.872435650154701e-06,0.0703210790196636,0.07387930249894326,0.34232458194104937,0.0050832426178316365,0.010033634991855691,0.07528288195327137,0.008103033893374485,0.01284057440475195,0.03648432608641752,0.10300599404255133,0.031264227498641384,0.05449754476689698,0.014289762898288105,0.05049317767147132,0.011608464943224817,0.05276188243488117,0.008758419222060663,0.005463073280818834,0.004266584069536704,0.004904797184930805,0.00290950580176415,0.006107923512949329,0.0031423041244754016,0.008906995442300497,0.003258813262399585
hw_pdf4lhc_unc_3,1.0,7.636256249489041e-06,0.06997325343940257,0.07405011737084065,0.3427179643051901,0.005086195103833956,0.010047991010742397,0.07552945656869164,0.008096070386476657,0.01282885149983817,0.036498963699120784,0.10329582489449195,0.03127048174699325,0.05454641614204751,0.01426323166949011,0.05039590872815172,0.011550357661202278,0.0523759219136139,0.008670083154006093,0.00546746782655639,0.004259540953963445,0.004901054171072795,0.0028993240779970255,0.00608919469745542,0.003125133023907631,0.008829939946354953,0.0032236197523090406
hw_pdf4lhc_unc_4,1.0,7.833506530355367e-06,0.07045955957726768,0.07397974089275682,0.34241521798611313,0.005085519686945301,0.010052656436564507,0.07547038229321588,0.00809816626024659,0.012840769968503831,0.03652956727041713,0.10307774244659974,0.031267153199103,0.054423038437351814,0.01426069493939375,0.05033734398582382,0.011564482203303271,0.05256864826340016,0.00871586517170814,0.005459991642002315,0.004260032689681379,0.004893164699678721,0.0028996952069083003,0.006085547222442113,0.0031284708005864595,0.008874942960260996,0.003243772253194781
hw_pdf4lhc_unc_5,1.0,7.744659477326229e-06,0.07033983027059183,0.07380856493973417,0.34223791871354975,0.005080920816843307,0.010014629055401802,0.0751442711103553,0.008096552813056155,0.012826481977427959,0.036411199081456624,0.10291762654494158,0.031215600287066783,0.05453063112663816,0.014286796115181966,0.05060054293039795,0.01161769239718801,0.053037503110229166,0.008778299707110379,0.0054629612155177466,0.004263643708696976,0.004910501236916262,0.0029100014613831025,0.006124409852256427,0.0031481623178932785,0.008956682140267905,0.0032708324104199975
hw_pdf4lhc_unc_6,1.0,7.929791426375911e-06,0.07038690323097857,0.07387962576550779,0.342283990366367,0.005083702583156829,0.010032971100079632,0.07527641950513266,0.008099788585218502,0.012840107012425907,0.036486773397665144,0.10300089447930666,0.031262473528982905,0.05449985676329002,0.014288918780421482,0.050482129870950236,0.011607467785418706,0.05275737894041352,0.00876185409010862,0.005463585300300805,0.004266333562459508,0.004903395609108673,0.0029092622129120453,0.006107910053121409,0.003142794275312994,0.008906824107830476,0.003260709302103519
