,ALL,UNKNOWN,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_pdf4lhc_unc_31,1.0,2.514634035451144e-06,0.07945104989447274,0.0021171993104061415,0.0005892735881982927,0.00010743854946780331,1.8038905076906897e-05,0.007325165052864474,0.0015950359324695366,0.00022599555448039318,3.246806751295284e-05,0.13168128928550796,0.42061205563171167,0.14125292206549,0.09402805813527856,0.015153387900601058,0.01354745946674629,0.01954708766921223,0.006901230176187957,0.013181800907106756,0.019877084173068483,0.012840555515953297,0.005116503118971522,0.008518288722711237,0.001225538351064544,0.0021061860790629536,0.0006967067556548369,0.0012219949391489237,0.00037529696229996167,0.0006523746552370671
hw_pdf4lhc_unc_32,1.0,2.5158410809276998e-06,0.0795520899059993,0.002121559989821997,0.0005914329254225208,0.0001081072398330911,1.8196033094792294e-05,0.007339395400212163,0.0016005460111577154,0.0002272820791528972,3.2785691863837175e-05,0.13159279235674154,0.42046315348877455,0.14125217924473468,0.0940618719016058,0.01516916760471758,0.013546982300369494,0.019553636860440836,0.006907665603653407,0.01318294697816459,0.019886100303914186,0.0128524688017672,0.005120013928638811,0.008526213462297105,0.0012272887641476841,0.0021090485951645063,0.0006979904732430144,0.0012247374870773566,0.00037680161454841326,0.0006550291123599552
hw_pdf4lhc_unc_33,1.0,2.5145796436703092e-06,0.07948359264753095,0.002120436457411076,0.0005910542713109104,0.00010792209147745186,1.8163622575778324e-05,0.007336596192831417,0.0015994856918168812,0.00022711039788534106,3.2705373097083264e-05,0.13159120671073354,0.42053214096236324,0.14126496860095106,0.09406299241846196,0.01516657371888125,0.013548696441382164,0.019554226410961953,0.006906837649104162,0.013184250431596373,0.019885916108746262,0.012850696563440544,0.005119333858412866,0.008524757725477242,0.0012268130291865473,0.0021084872371987277,0.0006976538437267108,0.0012239991819144869,0.0003764762130056076,0.0006543915688747457
hw_pdf4lhc_unc_34,1.0,2.516505593970229e-06,0.0799231839346079,0.0021260184889813232,0.0005934181050759969,0.00010857876474276699,1.8300407518482515e-05,0.007354153611946325,0.0016062063407090209,0.00022856523918160138,3.313087340016224e-05,0.13143635687952762,0.42017919244955476,0.141212517182714,0.09408159074508367,0.015182963264978627,0.01354418213461574,0.019560367714211612,0.006914828479627781,0.01318192252867678,0.01989531957800405,0.012866479012763384,0.005121859931133895,0.008531857594613178,0.0012276391427313014,0.0021110689908599885,0.000698462428018944,0.001226124901113456,0.00037690213467372506,0.0006562926353399812
hw_pdf4lhc_unc_35,1.0,2.516017336227024e-06,0.07966882268430765,0.002121385732982626,0.0005913411673884136,0.00010800094703046454,1.8161302507683146e-05,0.007339930380358989,0.0016003579858605871,0.00022722675464062283,3.275801728778824e-05,0.13154984777480302,0.4204023307469082,0.14123791356796417,0.09406146429793447,0.015169712699756383,0.013546372095866637,0.019555001508402375,0.00690855866492062,0.013182887081005418,0.019887991490286677,0.012854876389090834,0.005119337011529043,0.008525652825096125,0.0012267557864401818,0.0021087133580486683,0.0006975683002221214,0.0012240509694461782,0.00037619404573959353,0.000654270396838148
hw_pdf4lhc_unc_36,1.0,2.51625968212798e-06,0.07981746517262481,0.0021237957807708555,0.0005917477408189068,0.00010793983398022655,1.8156561440107272e-05,0.007352199208569233,0.0016027110839764954,0.0002273818906289527,3.271510382969838e-05,0.13141713632596852,0.42025026200193155,0.1412216012905015,0.0941066803413141,0.015184757384030228,0.013547292126108557,0.019567807651658237,0.006916528932184559,0.013187560679755404,0.01990720910191247,0.012874785764805816,0.005120847063735492,0.00853268526136618,0.0012267942916175958,0.002110301597538157,0.0006974582290437256,0.0012245150289023961,0.0003755664675478526,0.000653581823756307
hw_pdf4lhc_unc_37,1.0,2.5149780510722754e-06,0.0795933678011949,0.0021211257967266328,0.0005911549526551307,0.00010792510889792256,1.815429556513925e-05,0.007337963566385708,0.0015997566855812818,0.00022710464693557428,3.277692982142667e-05,0.13157829891192593,0.4204485331444134,0.14124837163633489,0.09406092637120499,0.015168341112345966,0.013547173978766393,0.01955471149144199,0.006907833414758421,0.013182916539500258,0.019886548898543757,0.012852452807831647,0.0051195923903145585,0.008525218067502427,0.0012267227373737644,0.0021085766535045617,0.000697622521389692,0.0012239274756011597,0.00037619878277577064,0.0006541883026556583
hw_pdf4lhc_unc_38,1.0,2.51393440601596e-06,0.07948646771563166,0.002121575243602314,0.0005912812724558081,0.00010795528351343147,1.8141921704848703e-05,0.007339096114979286,0.0015998362608985056,0.00022711528834608587,3.271661535702851e-05,0.1315715885220908,0.420480944888047,0.14127736547783556,0.09408314080032891,0.015172335943426398,0.013550196953589378,0.019558941240127716,0.006909465625964531,0.013185772513933986,0.019890894221627903,0.012855033490449932,0.005120999791540712,0.008527464277500828,0.0012272671454872416,0.0021090931958179155,0.0006978391489516933,0.001224275426946038,0.0003763987598140565,0.0006542829256244994
hw_pdf4lhc_unc_39,1.0,2.520318999026566e-06,0.07981929807781124,0.0021249822687753194,0.0005929161787198467,0.0001084301346581416,1.826222166040749e-05,0.007353569873181472,0.0016047859846919294,0.00022813077064849535,3.294405309166305e-05,0.1314986064040221,0.4202651282080546,0.1411872765536471,0.09406930309892805,0.01518142849223749,0.013542694302178302,0.019558842654361128,0.006914055303835343,0.01318235991984527,0.01989677296982821,0.012868070370295396,0.00512152833856457,0.008532290294519304,0.001227783432038161,0.0021111368229138603,0.0006983946353605436,0.0012258723189436885,0.00037689111386902453,0.0006557248843203867
hw_pdf4lhc_unc_40,1.0,2.509185054268339e-06,0.07963389852579644,0.0021200618358216804,0.0005907032458813935,0.00010782589937926332,1.8134718965237097e-05,0.0073346748567881355,0.0015987903572970566,0.00022686938949974231,3.272364249482249e-05,0.13159008761954546,0.42045210092921714,0.141240057978382,0.09404553573539454,0.015163532745436135,0.013546941290530032,0.01955174959531124,0.006905849766023849,0.013181852487434751,0.019882325516076778,0.012848544117818803,0.005118513715685328,0.008522634097825348,0.0012262662239639478,0.0021077601231985414,0.0006972865754603434,0.0012232572615470583,0.00037579004987458214,0.0006537225142961812
