,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_pdf4lhc_unc_32,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_33,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_34,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_35,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_36,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_37,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_38,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_39,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_pdf4lhc_unc_40,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_qcd_0,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_qcd_1,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_qcd_2,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_qcd_3,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_qcd_4,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_qcd_5,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_qcd_6,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
hw_qcd_7,9810000.0,52.0,728423.0,710875.0,3324741.0,47882.0,96828.0,733256.0,76825.0,126968.0,353835.0,1003267.0,297521.0,532230.0,137675.0,498848.0,114396.0,546602.0,91996.0,53509.0,41428.0,47911.0,28124.0,60163.0,30116.0,91936.0,34593.0
