,ALL,UNKNOWN,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_alphaS_up,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_alphaS_dn,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_0,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_1,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_2,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_3,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_4,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_5,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_6,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_7,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_8,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_9,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_10,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_11,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_12,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_13,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_14,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_15,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_16,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_17,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_18,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_19,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_20,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_21,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_22,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_23,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_24,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_25,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_26,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_27,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_28,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_29,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_30,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
hw_pdf4lhc_unc_31,20370000.0,55.0,1918197.0,65117.0,18750.0,3485.0,601.0,217162.0,50164.0,7336.0,1023.0,2361455.0,7765309.0,2863961.0,2140235.0,418789.0,293842.0,450698.0,184427.0,296096.0,474876.0,338264.0,124440.0,217552.0,29667.0,54255.0,16871.0,31359.0,9113.0,16901.0
