,ALL,UNKNOWN,QQ2HLL_FWDH,QQ2HLL_PTV_0_75_0J,QQ2HLL_PTV_75_150_0J,QQ2HLL_PTV_150_250_0J,QQ2HLL_PTV_250_400_0J,QQ2HLL_PTV_GT400_0J,QQ2HLL_PTV_0_75_1J,QQ2HLL_PTV_75_150_1J,QQ2HLL_PTV_150_250_1J,QQ2HLL_PTV_250_400_1J,QQ2HLL_PTV_GT400_1J,QQ2HLL_PTV_0_75_GE2J,QQ2HLL_PTV_75_150_GE2J,QQ2HLL_PTV_150_250_GE2J,QQ2HLL_PTV_250_400_GE2J,QQ2HLL_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,0.0003858121599391489,1.9775462587422475e-05,7.143659473312424e-05,0.00011855200696398978,9.169987229793868e-05,4.83429667419605e-05,2.2813376338623666e-05,1.0329903583899535e-05,6.500211616540938e-05,5.727520448831384e-05,3.499414466295476e-05,1.7947268200644473e-05,8.164293643905844e-06,4.2541921194912416e-05,4.091921027358418e-05,2.7273721017711835e-05,1.5025649265483652e-05,7.678881428609273e-06,0.00011271684469079472,7.025866796317558e-05,0.00017475072868533656,3.4799336735059436e-05,0.000141922647433064,5.902686291614405e-05,4.439065106705295e-05,0.00011764921237023316,0.00010664236080464103,2.0897003403816945e-05,4.710692118959866e-05,7.289288141959503e-06,1.819768373791769e-05,4.431923286375325e-06,1.1598957042435398e-05,2.1715087107072385e-06,6.7432670729626295e-06,8.846895777481223e-06,2.347081364812993e-05,4.039015349739344e-06,1.1007658403098048e-05,2.6267257351312482e-06,7.411046594799444e-06,1.4764206950412863e-06,4.623825083380599e-06
hw_alphaS_up,0.000385717348959734,1.974071251455655e-05,7.113500862095474e-05,0.0001182859237806805,9.131401163202079e-05,4.79956696138967e-05,2.2546136728533898e-05,1.015042136082927e-05,6.55269364187942e-05,5.7682243817313684e-05,3.514487348682164e-05,1.8005292870889664e-05,8.153332533631959e-06,4.2888197430831734e-05,4.121631502820856e-05,2.7431096091576884e-05,1.5079261948225835e-05,7.684571143874999e-06,0.00011220059564446976,7.013570263176296e-05,0.00017436078113701976,3.475984816738881e-05,0.00014115967937931764,5.946944338520686e-05,4.425486270255185e-05,0.0001183935403784607,0.0001074661078379238,2.106578537334056e-05,4.747659329990476e-05,7.361124430217988e-06,1.8342851331727256e-05,4.470945772948207e-06,1.1693131080001638e-05,2.1942044367970488e-06,6.790559164886178e-06,8.872563112741053e-06,2.3562056354879512e-05,4.044426024468723e-06,1.1047656805979212e-05,2.631502626236683e-06,7.433495508325287e-06,1.483594929905907e-06,4.632045696409759e-06
hw_alphaS_dn,0.000386285941265924,1.9805590723846223e-05,7.171830722309215e-05,0.00011895392363616992,9.217602316898441e-05,4.9199236989397874e-05,2.3067977455706708e-05,1.0489567632116812e-05,6.448254546179502e-05,5.686451077805822e-05,3.481314854424115e-05,1.7912575601609423e-05,8.159928307820683e-06,4.22069321682956e-05,4.062993868064793e-05,2.7116903273710622e-05,1.497021070857785e-05,7.668726393001039e-06,0.00011317763748850723,7.047675076971218e-05,0.00017533612502132267,3.4869443272921686e-05,0.00014294064738379418,5.858598025811775e-05,4.497539294652863e-05,0.0001168917756439168,0.0001058419074393119,2.0732095694346938e-05,4.6769114091128545e-05,7.222815556285167e-06,1.805991483917032e-05,4.392608159040218e-06,1.1509783215699896e-05,2.149054635960676e-06,6.696127100540721e-06,8.813418864026116e-06,2.337534400856463e-05,4.03087474636344e-06,1.0969289663030843e-05,2.621810004061625e-06,7.3906441938230625e-06,1.4697956263186895e-06,4.613663357945143e-06
hw_pdf4lhc_unc_0,0.0003854883027833509,1.9762311985290102e-05,7.130116656216158e-05,0.00011834023384833956,9.160948025461763e-05,4.8425414552727396e-05,2.2943007476206093e-05,1.0484843895378324e-05,6.505310656805403e-05,5.737076376666683e-05,3.494410581882439e-05,1.7944891837412534e-05,8.27814276101164e-06,4.259679719409893e-05,4.100348096821168e-05,2.7360284761611876e-05,1.51126711375188e-05,7.7689448844498e-06,0.00011174303047165289,7.011954791238794e-05,0.00017455720464409666,3.478679165063802e-05,0.00014182907970129493,5.912239476067091e-05,4.4377121662563425e-05,0.0001178042221228281,0.00010682595592215307,2.095476557087773e-05,4.724708535317164e-05,7.314358669941411e-06,1.825252779176538e-05,4.446750627055748e-06,1.1628210611702196e-05,2.1761286934678896e-06,6.75551012308513e-06,8.929568523240187e-06,2.3619224297303626e-05,4.091698776126809e-06,1.1086494157664553e-05,2.658552358457154e-06,7.4621488724233855e-06,1.4932276006021455e-06,4.647182326460618e-06
hw_pdf4lhc_unc_1,0.00038796161175896465,1.9731308704922696e-05,7.140050277838913e-05,0.00011942489993912967,9.226741884269511e-05,4.846281782478105e-05,2.2796854966974723e-05,1.0283456182457101e-05,6.528524439686147e-05,5.7450740932443065e-05,3.527338587967473e-05,1.808029835198904e-05,8.131120666974707e-06,4.2721470309576724e-05,4.101965984681479e-05,2.729381170643682e-05,1.4987149974942459e-05,7.637668643007703e-06,0.00011404950770594793,7.083393462772685e-05,0.0001758922805558306,3.498639947386256e-05,0.00014274542036474134,5.921549614690855e-05,4.467578356372614e-05,0.0001180312211080419,0.00010697086816851973,2.0932079962753435e-05,4.7184353108068285e-05,7.299417517409146e-06,1.8196632689603904e-05,4.431705233368418e-06,1.1607733897269397e-05,2.1898446034732834e-06,6.739684826635401e-06,8.824682274229046e-06,2.3429888167542522e-05,4.0328143600572105e-06,1.0974687338294616e-05,2.62201123546251e-06,7.386441129103847e-06,1.470530877333697e-06,4.609539656252028e-06
hw_pdf4lhc_unc_2,0.00038554524699612873,1.9809759429653016e-05,7.134952316244678e-05,0.00011857926058194977,9.168263638622111e-05,4.835420888415184e-05,2.2815926690935387e-05,1.0337116278356262e-05,6.501249511645083e-05,5.7281294985111264e-05,3.488453871311552e-05,1.7852487228557546e-05,8.157206651219034e-06,4.254545309177437e-05,4.091767417137613e-05,2.7267169700029353e-05,1.5026303170564138e-05,7.672124169590775e-06,0.0001117849568572809,7.027452546586927e-05,0.00017478508181157726,3.4808035727823e-05,0.00014193863045372003,5.902997333854788e-05,4.4431373875534416e-05,0.00011765369955432383,0.0001066260746214903,2.089836978302632e-05,4.710289970259886e-05,7.288185244601018e-06,1.819234333344081e-05,4.428375484420578e-06,1.1593518009198448e-05,2.1704725210583017e-06,6.7408026123206575e-06,8.842135619240482e-06,2.3458019044497548e-05,4.037850209491738e-06,1.0998026321090754e-05,2.6273283426900404e-06,7.401635287990765e-06,1.4721029645967705e-06,4.6205971231041835e-06
hw_pdf4lhc_unc_3,0.0003882255228791287,1.9849377282167892e-05,7.225574370060577e-05,0.00011906138219294556,9.226128349641272e-05,4.860967922407142e-05,2.2883208671868065e-05,1.033958903192184e-05,6.485003107506088e-05,5.710662496348579e-05,3.5682274244227196e-05,1.841712142088555e-05,8.130842351495786e-06,4.228073366633914e-05,4.0633911534034e-05,2.7073490251996998e-05,1.489979447175626e-05,7.603110811643564e-06,0.00011778236785288809,7.056261982635208e-05,0.00017547801382108822,3.4899474245023866e-05,0.00014268240553620755,5.882916547893652e-05,4.464949131416759e-05,0.00011760619540238362,0.00010628338143809876,2.0749875184423106e-05,4.669920781902305e-05,7.218418131814707e-06,1.8013662341038784e-05,4.396163959422548e-06,1.1487995644161564e-05,2.1564898513973433e-06,6.682208580609247e-06,8.789266320132136e-06,2.323624607952375e-05,3.996760504958677e-06,1.0879947024557778e-05,2.5968135957700793e-06,7.3284185907334415e-06,1.4594540008541664e-06,4.597750973479413e-06
hw_pdf4lhc_unc_4,0.00038598545906442925,1.9811624292025828e-05,7.159410891844221e-05,0.00011855040910210439,9.160380162900688e-05,4.823295330070729e-05,2.2715379608144755e-05,1.027559211095547e-05,6.520615807587566e-05,5.7370378778753556e-05,3.491975242418677e-05,1.7844325394172823e-05,8.11237136457403e-06,4.265249431160277e-05,4.0960809383202124e-05,2.7232922004901236e-05,1.4954965205932543e-05,7.610157329783153e-06,0.00011297735105878221,7.026224179927288e-05,0.0001747076886125885,3.479970171621601e-05,0.0001418230378462135,5.915549015378656e-05,4.473606351235284e-05,0.00011776886666977581,0.00010682649678820805,2.0886625252548297e-05,4.7055456509061716e-05,7.2550308379929165e-06,1.8127618468664605e-05,4.409710662731176e-06,1.1539908617238788e-05,2.155647818399198e-06,6.7093031613679225e-06,8.80486227935723e-06,2.335330943901143e-05,4.011946422295618e-06,1.0914101347063983e-05,2.60024746160034e-06,7.3364531608944205e-06,1.4538599860856667e-06,4.5751179728090935e-06
hw_pdf4lhc_unc_5,0.00038627275888166064,1.978605997618222e-05,7.164824128141218e-05,0.00011860851029116055,9.18304511843326e-05,4.848910867438673e-05,2.293175558614525e-05,1.0441014216799533e-05,6.492803046829442e-05,5.724050537492707e-05,3.51297489510034e-05,1.806038538525147e-05,8.222689086104296e-06,4.245310165291586e-05,4.0837497812894336e-05,2.724412718047294e-05,1.5033046195343639e-05,7.698681312643328e-06,0.00011358006808509292,7.028632888907479e-05,0.00017488454196955,3.482261683485541e-05,0.00014213400029024591,5.8970739701073695e-05,4.4469539645639485e-05,0.00011767702126633207,0.00010652280789996442,2.0872169211031782e-05,4.7028762966565765e-05,7.278760781323641e-06,1.8173842282735227e-05,4.4361712730304824e-06,1.1585764813611441e-05,2.1696536151420857e-06,6.742564574567481e-06,8.87704813031025e-06,2.347514790765217e-05,4.054523456711601e-06,1.1004421335953711e-05,2.629118444984997e-06,7.403441787896245e-06,1.4728125766196465e-06,4.618714277054781e-06
hw_pdf4lhc_unc_6,0.00038543425003639224,1.974078115408539e-05,7.125427762910992e-05,0.00011857841074046351,9.167233657694443e-05,4.834724772470792e-05,2.2813236785150494e-05,1.0317916232816135e-05,6.498730806990214e-05,5.72672974857585e-05,3.476839227046895e-05,1.7840036393740498e-05,8.152833321547072e-06,4.2528184128223034e-05,4.090870470626704e-05,2.7259618953550113e-05,1.5013284180862782e-05,7.670033301131749e-06,0.00011164924013706911,7.02756373775607e-05,0.00017477604735204364,3.4804583835488595e-05,0.00014194270620895535,5.9016372298311556e-05,4.4392027963167336e-05,0.00011766265059627076,0.00010657435603229474,2.0879935982859148e-05,4.708398323254686e-05,7.285683293628115e-06,1.819272694233811e-05,4.428893649432688e-06,1.1597471007017539e-05,2.1775261155610377e-06,6.743579784123295e-06,8.839708779469057e-06,2.34527820351597e-05,4.03321258052561e-06,1.099216591525552e-05,2.621576276439172e-06,7.4002242910728415e-06,1.473068712254552e-06,4.6076343975084915e-06
