,ALL,UNKNOWN,QQ2HLL_FWDH,QQ2HLL_PTV_0_75_0J,QQ2HLL_PTV_75_150_0J,QQ2HLL_PTV_150_250_0J,QQ2HLL_PTV_250_400_0J,QQ2HLL_PTV_GT400_0J,QQ2HLL_PTV_0_75_1J,QQ2HLL_PTV_75_150_1J,QQ2HLL_PTV_150_250_1J,QQ2HLL_PTV_250_400_1J,QQ2HLL_PTV_GT400_1J,QQ2HLL_PTV_0_75_GE2J,QQ2HLL_PTV_75_150_GE2J,QQ2HLL_PTV_150_250_GE2J,QQ2HLL_PTV_250_400_GE2J,QQ2HLL_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_alphaS_up,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_alphaS_dn,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_0,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_1,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_2,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_3,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_4,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_5,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_6,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_7,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_8,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_9,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_10,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_11,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_12,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_13,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_14,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_15,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_16,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
hw_pdf4lhc_unc_17,2430000.0,21.0,88604.0,227773.0,136118.0,37736.0,8381.0,1693.0,69164.0,53933.0,18901.0,5094.0,1138.0,30953.0,28683.0,12455.0,4008.0,1023.0,208075.0,74662.0,486166.0,18749.0,341693.0,57839.0,30060.0,228169.0,189195.0,7263.0,37497.0,886.0,5771.0,324.0,2476.0,102.0,922.0,1305.0,9226.0,255.0,2173.0,104.0,982.0,35.0,393.0
