,ALL,UNKNOWN,GG2HLL_FWDH,GG2HLL_PTV_0_75_0J,GG2HLL_PTV_75_150_0J,GG2HLL_PTV_150_250_0J,GG2HLL_PTV_250_400_0J,GG2HLL_PTV_GT400_0J,GG2HLL_PTV_0_75_1J,GG2HLL_PTV_75_150_1J,GG2HLL_PTV_150_250_1J,GG2HLL_PTV_250_400_1J,GG2HLL_PTV_GT400_1J,GG2HLL_PTV_0_75_GE2J,GG2HLL_PTV_75_150_GE2J,GG2HLL_PTV_150_250_GE2J,GG2HLL_PTV_250_400_GE2J,GG2HLL_PTV_GT400_GE2J,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,1.0,0.0004994696031588962,0.009606299809436529,0.02372277398615643,0.06264619017275956,0.02798208229942269,0.002582214879819137,0.00012092608871730389,0.018535959070413655,0.04745458001747082,0.031006369728688265,0.00533356042256477,0.00039907576815883714,0.010878903347019178,0.027510585299920797,0.023569008485058156,0.00712608809547365,0.0009186629167025682,0.022283794571705016,0.0038752725581271395,0.0008594250712894388,0.00018559879193099846,2.8792099308850902e-05,0.07825049545100432,0.014973946595926815,0.0013826693157768548,0.00010213241173748095,0.0001196479183539087,0.003266707928201186,0.01936930455252584,0.04668643434233735,0.028377132421951785,0.015074248695561903,0.04941248824411958,0.06238210176507545,0.030518782082525914,0.10214046695103711,0.15016009721980195,0.007132937483388485,0.04788321529652102,0.0012444614559737608,0.008992713119901609,0.0005285184079099253,0.0035609370860551865,0.00012015300271497481,0.00119477516829489
hw_alphaS_up,1.0,0.0005058046699775445,0.009786532248439738,0.023703068896187184,0.06257677027414162,0.02795269503895428,0.002582051252980031,0.00012106798251757207,0.018521141562713606,0.04740553273739168,0.030973249427322155,0.00533098680221572,0.0003993146268099206,0.010870512153522026,0.027482652204928598,0.023546408424788324,0.007121924186746803,0.0009186897467520667,0.022720759129735077,0.003874902584369015,0.0008603619344608204,0.00018592255309709304,2.887889954138713e-05,0.07823037583859092,0.014978881720537254,0.0013843800304750161,0.00010242499688930711,0.00011964360816030802,0.0032662119767612584,0.01936371868331594,0.04666210810417658,0.02836028799569912,0.015066790056827819,0.04938148265375788,0.062341045516349704,0.03050008820469938,0.10207184666358325,0.15005501263617724,0.007130020635310347,0.04785832301786889,0.0012451856657448729,0.008995707758444157,0.0005301650917901641,0.00356719241774844,0.00012064045266392399,0.0011992389368359728
hw_alphaS_dn,1.0,0.0004948139323341946,0.009478415871403072,0.02372472239228592,0.06269199992840441,0.02801908286398181,0.0025864744115087846,0.00012115555031927015,0.01853900657051044,0.047487281038842644,0.031043258719356943,0.00534154341607123,0.0003997135376307854,0.010881547131470699,0.027530242476209416,0.023593414275860466,0.007135057451220207,0.0009201353980336037,0.02196915139351257,0.00387851237931115,0.0008599224205535494,0.00018581983312223222,2.8825447544390134e-05,0.07830984745562569,0.014986759885296302,0.001383753713952059,0.00010212030914774739,0.00011956093072807446,0.003264293835539397,0.019359743817516414,0.04668445909943646,0.028390967169135143,0.015069865240937052,0.04941742590931063,0.06241884999403705,0.030514473172894373,0.10215741766713302,0.1502460741119625,0.007134041321672557,0.04789794967077425,0.0012440277963133863,0.008991606031408852,0.0005274384659766002,0.0035574658327643983,0.00011988287167895958,0.0011918792572713263
hw_pdf4lhc_unc_0,1.0,0.0004960996554081297,0.00950027604702349,0.023748255604304238,0.06268243197917595,0.027976511395984203,0.0025773741899047377,0.00012032562275499366,0.018553619768194942,0.04748147969353598,0.031006160188296106,0.005327309437116761,0.00039793130229849046,0.010887849665038609,0.02752482911573265,0.023570623069083477,0.0071218426948002535,0.0009168055006485554,0.02203835690804602,0.0038722772727010427,0.0008575604839683202,0.0001847542513789168,2.858229239500717e-05,0.07821497374077138,0.014953430082871515,0.0013789159701719893,0.00010182932127795203,0.00011977207635519043,0.0032705430170824105,0.019391053580340063,0.0467246400976242,0.02838286385139891,0.015092327810347195,0.049450360568815264,0.062392675918294234,0.030556419872953582,0.10222450071985743,0.15020716312784063,0.007135960472559777,0.04790634523104102,0.0012436066652167458,0.008988456852619705,0.0005273961573945249,0.0035546607072995838,0.00011953499816970806,0.001191313021906116
hw_pdf4lhc_unc_1,1.0,0.0004965333681809468,0.009507413538469112,0.023759194788849424,0.06269978195909014,0.02796309991191293,0.0025730308644896253,0.00012010992156513093,0.01855977135408831,0.04748915921962611,0.030995815193879655,0.005321239782283069,0.0003971592647295888,0.010889918936289501,0.02752695316906349,0.023563037734002295,0.007114051993313542,0.0009151807241773996,0.022053034987111315,0.0038684399201153034,0.0008562621662177748,0.0001843513874113316,2.8540711949089368e-05,0.07815352086036301,0.01493262871223638,0.0013763974375529948,0.00010150536626918528,0.00011987539255883925,0.003272701081657194,0.019399973115197897,0.04674269141710866,0.028384443976403422,0.015098131021204527,0.0494701391820413,0.06239157117026012,0.03056325525883792,0.10224750213845524,0.15019766120699155,0.0071366252925573505,0.0478978220202014,0.0012443089821296673,0.008990120623479746,0.000527583927806906,0.0035572301598752873,0.00011992457240078816,0.001192306187595542
hw_pdf4lhc_unc_2,1.0,0.0004979326454676208,0.00955674045348605,0.023732704060616124,0.06266342278199509,0.027981325404839684,0.0025803648314827554,0.00012072782479911811,0.018542818223361384,0.047466447196283214,0.0310078383854375,0.005331541228716498,0.00039863589851749803,0.010882232525406838,0.02751691960139811,0.023570353654104172,0.007124311334276384,0.0009179904695993694,0.02216674347173737,0.0038741924599425166,0.0008587173120536202,0.00018532091738083736,2.872754259333423e-05,0.07823737757620686,0.014966158123802926,0.0013812552571013594,0.0001019678566472933,0.00011971424915362853,0.0032682541880166027,0.019377626790334748,0.04670306103187728,0.028381293926777067,0.015080983574920421,0.049429508673068175,0.06239045020185513,0.030532167902544146,0.10217453376947526,0.15018491374732876,0.0071345289644757105,0.04789193144096514,0.0012444186840189927,0.008992362928594549,0.0005281394321488414,0.003559629117969147,0.0001200519636251922,0.001193662375597657
hw_pdf4lhc_unc_3,1.0,0.0004992576270451487,0.009585668840998452,0.02375843792641335,0.06269213492848512,0.027949250798977667,0.0025713151171893565,0.00012023709385001487,0.018557823139051802,0.04747945300042287,0.030982287373445903,0.005318417763426799,0.0003970400737237424,0.010887799613400499,0.027520092499309534,0.023552813669066548,0.007108463183363076,0.0009146498766913838,0.022232375774015815,0.0038661091580831928,0.0008560816483437236,0.00018446785493403286,2.8626136552523033e-05,0.07810652518602897,0.014923481551781878,0.0013761295520567055,0.0001013837505793269,0.00011993930627450088,0.0032733911696183316,0.0193996129817162,0.04674010095832944,0.02837972571381022,0.01509545068411878,0.049467196141182085,0.062376916210214794,0.03055185188096923,0.10222089593870387,0.15014567802423456,0.00713556765835512,0.04787528738349617,0.0012455082289985163,0.008994245537255929,0.0005285094048561152,0.0035636372080392223,0.00012067002841406183,0.0011954924041754154
hw_pdf4lhc_unc_4,1.0,0.0004898011363065773,0.009316098701353533,0.02384893510246013,0.06279705125681306,0.027913549723437205,0.0025514266081704253,0.00011810674203791483,0.018618670726750906,0.04755766918752197,0.030963950780874102,0.005291588706051063,0.00039247256497963935,0.01091965527861177,0.027563733852668634,0.023547299867114336,0.007087832035421891,0.0009071760244668324,0.021606917851503902,0.0038529367587328374,0.000848852734004662,0.00018140199561168257,2.79156528303888e-05,0.07793450332096329,0.014839734006276613,0.001361728611016724,0.00010001331733601507,0.00012033852152396479,0.0032875928597356943,0.019477540080787146,0.04686484971061301,0.028388683498337997,0.01515772176700547,0.04958749346323467,0.06239030590552249,0.030680265709357876,0.1024843586119827,0.15024323238855028,0.007144137478040592,0.047942798088584836,0.0012422396090881922,0.00897799187690464,0.0005249396327314198,0.003542462160390317,0.00011876713751261644,0.0011852589567800064
hw_pdf4lhc_unc_5,1.0,0.0004937371723759869,0.009425645091703353,0.023767433315173492,0.06271663941997693,0.027970654295130088,0.0025729005904669947,0.00011998775732479367,0.018566209156543688,0.04750295109505944,0.03100473926636872,0.005321965753958106,0.0003970116755749718,0.010893470649367253,0.02753530289859914,0.023569661779768603,0.007115995696419152,0.0009152484043695315,0.02186189404515391,0.003869113437199507,0.0008560174034813281,0.00018422303968322512,2.8486349132827796e-05,0.0781705185572492,0.014933481790153342,0.0013758464118654732,0.00010144903266498172,0.00011991415630735296,0.0032737271345456504,0.019406856067214626,0.046757109283762976,0.028390667725186235,0.01510463943809931,0.04948474725359904,0.062407061557045986,0.03057841659886237,0.10228514224958088,0.15024393730566718,0.007138619175449097,0.04791554763326946,0.0012438774566669785,0.00898887012725898,0.0005269141883562369,0.003553785505135954,0.00011957095615349282,0.0011900121030741582
hw_pdf4lhc_unc_6,1.0,0.0004998630964856114,0.009617508934911232,0.023722352422207296,0.06264355386041427,0.027980511857748316,0.002582198619660979,0.0001209153211969613,0.018535554109439356,0.04745278278540247,0.031004731084315045,0.005333311126350997,0.00039907757994098967,0.010878653605611775,0.027509391463538806,0.023567971170630222,0.007125874751964298,0.0009186179431666982,0.022310236535598348,0.003875124628511904,0.0008594214326180773,0.00018558747666481067,2.878797238236584e-05,0.0782479601167707,0.014973772355268153,0.0013826753566060234,0.00010215695636552368,0.00011964243440662209,0.003266659601136785,0.019369024144251016,0.046684765812797464,0.028375705579321852,0.015074035113408185,0.049410507059449556,0.06237871687895288,0.030518082803831337,0.10213658623292375,0.1501522891308322,0.007132622229922093,0.04788132982514192,0.0012444161098508384,0.008992368854735209,0.0005285767886400657,0.0035610121750477685,0.0001201330900381285,0.001194933571541102
