,ALL,UNKNOWN,TTH_FWDH,TTH_PTH_0_60,TTH_PTH_60_120,TTH_PTH_120_200,TTH_PTH_200_300,TTH_PTH_300_450,TTH_PTH_GT450
hw_nominal,7785000.0,10730.0,103233.0,1801350.0,2721048.0,1944183.0,815193.0,300855.0,88408.0
hw_alphaS_up,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_alphaS_dn,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_0,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_1,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_2,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_3,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_4,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_5,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_6,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_7,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_8,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_9,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_10,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_11,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_12,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_13,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_14,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_15,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_16,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_17,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_18,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_19,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_20,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_21,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_22,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_23,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_24,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_25,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_26,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_27,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_28,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_pdf4lhc_unc_29,7784964.0,10730.0,103225.0,1801348.0,2721043.0,1944175.0,815183.0,300854.0,88406.0
hw_qcd_0,7785000.0,10730.0,103233.0,1801350.0,2721048.0,1944183.0,815193.0,300855.0,88408.0
hw_qcd_1,7785000.0,10730.0,103233.0,1801350.0,2721048.0,1944183.0,815193.0,300855.0,88408.0
hw_qcd_2,7785000.0,10730.0,103233.0,1801350.0,2721048.0,1944183.0,815193.0,300855.0,88408.0
hw_qcd_3,7785000.0,10730.0,103233.0,1801350.0,2721048.0,1944183.0,815193.0,300855.0,88408.0
hw_qcd_4,7785000.0,10730.0,103233.0,1801350.0,2721048.0,1944183.0,815193.0,300855.0,88408.0
hw_qcd_5,7785000.0,10730.0,103233.0,1801350.0,2721048.0,1944183.0,815193.0,300855.0,88408.0
hw_qcd_6,7785000.0,10730.0,103233.0,1801350.0,2721048.0,1944183.0,815193.0,300855.0,88408.0
hw_qcd_7,7785000.0,10730.0,103233.0,1801350.0,2721048.0,1944183.0,815193.0,300855.0,88408.0
