,ALL,UNKNOWN,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,0.00023585910535087846,3.283547482747556e-07,6.59284426083123e-05,8.344930738241151e-06,4.311080975437919e-06,1.8239781983126392e-06,7.494707489148882e-07,1.591436120367763e-05,7.213875713727667e-06,2.6721374858285394e-06,9.841292217171955e-07,9.036550213686747e-05,0.00015893275835891576,8.748883755944151e-05,6.681564334135362e-05,2.3868979252868284e-05,2.6074478110127503e-05,3.0279986311209205e-05,1.6436440892140437e-05,2.5265200913802244e-05,2.987731521276177e-05,2.2627697060798418e-05,1.5122447663546525e-05,1.8851669880252556e-05,7.390034716265259e-06,9.38736583890077e-06,5.58018811551095e-06,7.158486137717665e-06,4.115655449374517e-06,5.232792926422048e-06
hw_alphaS_up,0.00023547735086878015,3.278987179079108e-07,6.623822995905009e-05,8.407151753714994e-06,4.320270857036417e-06,1.8213730074654449e-06,7.466988320982118e-07,1.604791834810613e-05,7.234144430788294e-06,2.668480856209504e-06,9.812482334736574e-07,8.831830083918809e-05,0.0001584359356709147,8.802700899422669e-05,6.750097268114731e-05,2.4172299553354766e-05,2.6248742667594008e-05,3.060307790172152e-05,1.6638174080057856e-05,2.545373840523005e-05,3.0197697311376507e-05,2.289549334041036e-05,1.5281069951332685e-05,1.9059771838419673e-05,7.474450702241161e-06,9.498535338640648e-06,5.6476757747640785e-06,7.250157633662189e-06,4.172880275839094e-06,5.30809059305921e-06
hw_alphaS_dn,0.0002362289638049395,3.276540604388618e-07,6.565142785755718e-05,8.193786502910497e-06,4.203443343954206e-06,1.765773548017007e-06,7.22384459221382e-07,1.564569381272406e-05,7.040689872571675e-06,2.590299588404881e-06,9.486657704022415e-07,9.234740316119612e-05,0.00015936189212715062,8.697482942491327e-05,6.619529625309757e-05,2.3589988654140286e-05,2.5913198634884956e-05,2.9989890533236702e-05,1.624252942161701e-05,2.5091348467451794e-05,2.9590239724003977e-05,2.2368533488106454e-05,1.4979180592277603e-05,1.865913024579167e-05,7.314649337896354e-06,9.285737152309424e-06,5.5211410486910326e-06,7.075797833488319e-06,4.069152901551753e-06,5.1688242533042756e-06
hw_pdf4lhc_unc_0,0.00023585910535087846,3.283547482747556e-07,6.59284426083123e-05,8.344930738241151e-06,4.311080975437919e-06,1.8239781983126392e-06,7.494707489148882e-07,1.591436120367763e-05,7.213875713727667e-06,2.6721374858285394e-06,9.841292217171955e-07,9.036550213686747e-05,0.00015893275835891576,8.748883755944151e-05,6.681564334135362e-05,2.3868979252868284e-05,2.6074478110127503e-05,3.0279986311209205e-05,1.6436440892140437e-05,2.5265200913802244e-05,2.987731521276177e-05,2.2627697060798418e-05,1.5122447663546525e-05,1.8851669880252556e-05,7.390034716265259e-06,9.38736583890077e-06,5.58018811551095e-06,7.158486137717665e-06,4.115655449374517e-06,5.232792926422048e-06
hw_pdf4lhc_unc_1,0.0002358712290818532,3.2883260738561444e-07,6.563269387786619e-05,8.32430517951311e-06,4.301512218377934e-06,1.820672547191993e-06,7.488811619196442e-07,1.587314962269789e-05,7.194643178157283e-06,2.6680958814868624e-06,9.831923503911115e-07,9.056121873583382e-05,0.00015904519404736918,8.746981505971038e-05,6.675214312414555e-05,2.3822898294634918e-05,2.60679247350698e-05,3.0243966247092688e-05,1.640192055847206e-05,2.5255097058285777e-05,2.9841101771636133e-05,2.2580955296771308e-05,1.5104950084376452e-05,1.882603986632486e-05,7.3804983293539895e-06,9.37429005023673e-06,5.57504783944582e-06,7.1518893623200305e-06,4.114364991165236e-06,5.23348590215748e-06
hw_pdf4lhc_unc_2,0.00023592555946794967,3.280796376811571e-07,6.504844494013494e-05,8.300044030512558e-06,4.277555962176969e-06,1.805021891437619e-06,7.389088643615965e-07,1.5819978389591595e-05,7.151490519540249e-06,2.641327695270564e-06,9.686140694195208e-07,9.065425342990399e-05,0.00015924039417378175,8.758563875713868e-05,6.679509452777997e-05,2.380572408996355e-05,2.6098590137081366e-05,3.0255322120888917e-05,1.6386049141807084e-05,2.527955212214694e-05,2.9843384679995644e-05,2.2553533186567955e-05,1.5109046906860849e-05,1.8818077442688162e-05,7.379367420061973e-06,9.362923493152434e-06,5.569994065074752e-06,7.13701044629429e-06,4.106781741509364e-06,5.213650423462179e-06
hw_pdf4lhc_unc_3,0.00023590110051818845,3.282837928771928e-07,6.579614887269876e-05,8.331408830376793e-06,4.3034518199825135e-06,1.8161962546037471e-06,7.441878928201025e-07,1.5888817067278305e-05,7.1960112701116125e-06,2.6647818291820205e-06,9.772718156385443e-07,9.046935620258941e-05,0.0001590175302712448,8.749731069949797e-05,6.67936322818104e-05,2.384474566525768e-05,2.6077088730271836e-05,3.0267060838316627e-05,1.6420901824576762e-05,2.52659426884879e-05,2.9863138383115454e-05,2.2604538467012145e-05,1.5113062567742812e-05,1.8837812284431452e-05,7.382440358595386e-06,9.378035772465565e-06,5.575621438900729e-06,7.149779324571886e-06,4.108356116675755e-06,5.224342211834815e-06
hw_pdf4lhc_unc_4,0.00023583675023188238,3.290070286725634e-07,6.647207611679666e-05,8.366818362770681e-06,4.3287623691472145e-06,1.8351303621014991e-06,7.555961554903969e-07,1.59643144692946e-05,7.2482380207102886e-06,2.6901114963514154e-06,9.93803678596576e-07,9.021869104262579e-05,0.00015876525697951715,8.74278238159875e-05,6.681647422119285e-05,2.389562808223969e-05,2.605698840569435e-05,3.0286460062422963e-05,1.645704525717144e-05,2.5256250749298983e-05,2.9893668051609915e-05,2.2665986020050833e-05,1.5124579451211832e-05,1.886722419636083e-05,7.393370017879826e-06,9.398292266744223e-06,5.585422753251123e-06,7.170682046632786e-06,4.121321821752999e-06,5.243841799813217e-06
hw_pdf4lhc_unc_5,0.0002359320271603083,3.28056059146063e-07,6.560718078246288e-05,8.317999135564062e-06,4.287494389112326e-06,1.805592300567019e-06,7.394134473965465e-07,1.5862275951929576e-05,7.175423994534888e-06,2.6502940128967294e-06,9.694426613053393e-07,9.052507459300941e-05,0.0001591025153147061,8.752825582432142e-05,6.679571576266374e-05,2.3831883498471796e-05,2.608602143306578e-05,3.0267655686052626e-05,1.6410844441656168e-05,2.527184755527222e-05,2.9859520092546585e-05,2.25903896937133e-05,1.511239214099411e-05,1.8831944936053673e-05,7.380824242468962e-06,9.37138990805335e-06,5.5702413313518555e-06,7.140526173506095e-06,4.1031832109079454e-06,5.211731502153567e-06
hw_pdf4lhc_unc_6,0.00023583417825176047,3.2893725924066704e-07,6.58962221234555e-05,8.340800080542833e-06,4.311287775174166e-06,1.8275316263193698e-06,7.507088119967903e-07,1.5909349986651876e-05,7.217422269097454e-06,2.6750914013345743e-06,9.86427113590757e-07,9.042327751093827e-05,0.000158932324560461,8.744867613574026e-05,6.67787534754724e-05,2.3852522647182855e-05,2.606271226433856e-05,3.0259271617301245e-05,1.6423808344489562e-05,2.5256954973953343e-05,2.9863300019705184e-05,2.261538491946481e-05,1.5111807541347678e-05,1.884274809077229e-05,7.38504100242754e-06,9.383615469780135e-06,5.574296844080635e-06,7.157472151421381e-06,4.116925815219572e-06,5.235369777307089e-06
