,ALL,UNKNOWN,TTH_FWDH,TTH_PTH_0_60,TTH_PTH_60_120,TTH_PTH_120_200,TTH_PTH_200_300,TTH_PTH_300_450,TTH_PTH_GT450
hw_nominal,0.0005387280838652085,4.8371577854385356e-05,6.924339290511662e-05,0.00025627657991440285,0.0003161392744551593,0.0002681580817951692,0.00017464791600387453,0.00010749188819117145,5.921661634053172e-05
hw_alphaS_up,0.0005443008387216318,4.834944956653551e-05,7.097560360459879e-05,0.0002571306846291648,0.0003169468348006586,0.0002772395815664914,0.00017447286555844591,0.00010729868069864063,5.917042421363206e-05
hw_alphaS_dn,0.0005434255307738667,4.823028668151046e-05,6.853647725012934e-05,0.0002574395269923904,0.0003171514598072291,0.00027620756313413415,0.00017407213175039702,0.0001067769925164431,5.860621637862071e-05
hw_pdf4lhc_unc_0,0.0005387280838652085,4.8371577854385356e-05,6.924339290511662e-05,0.00025627657991440285,0.0003161392744551593,0.0002681580817951692,0.00017464791600387453,0.00010749188819117145,5.921661634053172e-05
hw_pdf4lhc_unc_1,0.0005443256553945471,4.840800818783504e-05,7.119609954431299e-05,0.00025686980683845993,0.0003168309318001094,0.000277358972825763,0.00017469335525382423,0.00010747208217302331,5.931480118576323e-05
hw_pdf4lhc_unc_2,0.0005437817192404931,4.8301033624486696e-05,6.915998239607088e-05,0.00025722743848289703,0.0003170796944858288,0.00027665324325952984,0.00017439366324913498,0.00010706956686607314,5.8846567154515936e-05
hw_pdf4lhc_unc_3,0.0005446113868391146,4.837324392967975e-05,7.235317569163168e-05,0.00025713797852829285,0.00031703339922144316,0.0002769279216114505,0.0001750734705722913,0.00010741554719098209,5.931778861148616e-05
hw_pdf4lhc_unc_4,0.000544059542189022,4.8431264830892084e-05,6.963169494997761e-05,0.00025685018584312895,0.0003167886977664229,0.000277218502339093,0.00017475612390918037,0.00010757441559248496,5.9308282044334504e-05
hw_pdf4lhc_unc_5,0.0005437634223634631,4.828193865792799e-05,6.776943341080623e-05,0.00025731663398851306,0.0003172448781296426,0.00027666702186626403,0.0001745007635904696,0.00010705994801598348,5.866570563094105e-05
hw_pdf4lhc_unc_6,0.0005443089029820839,4.840097177946995e-05,7.09309924731189e-05,0.00025676855560994455,0.0003167247165869437,0.0002774442090242771,0.00017482416208772222,0.00010762196079816997,5.94341790489288e-05
hw_pdf4lhc_unc_7,0.0005438833627848292,4.828187977611559e-05,6.903261101237495e-05,0.0002571769406060251,0.00031710082551852724,0.0002768382479974437,0.0001745109769365343,0.00010711279909747229,5.8761469825842546e-05
hw_pdf4lhc_unc_8,0.0005441360276095337,4.853162188975156e-05,7.031317142515554e-05,0.00025617265667443227,0.0003163555747481533,0.00027739098896059085,0.00017543298462990603,0.00010839523207505086,6.006211162125083e-05
hw_pdf4lhc_unc_9,0.0005441469440177672,4.838270796820331e-05,7.115729910077665e-05,0.00025671623684285635,0.0003166662179113222,0.0002772123516226038,0.00017479198808758448,0.00010761046054119579,5.943055614387314e-05
hw_pdf4lhc_unc_10,0.0005440997455247917,4.84433673628227e-05,7.013203676460556e-05,0.0002564978304638463,0.0003165213284799876,0.00027732594979289205,0.00017508023378446887,0.00010800781092870145,5.9782307837531587e-05
hw_pdf4lhc_unc_11,0.0005439020778605709,4.8380501398286714e-05,6.971237410984698e-05,0.00025675445789978546,0.0003167102646916333,0.0002770537925079888,0.00017477170754947544,0.0001075866731771704,5.934553833994829e-05
hw_pdf4lhc_unc_12,0.0005441005437105773,4.843817852482888e-05,7.129913201481092e-05,0.0002565844694830577,0.0003165574119948905,0.00027709050984209055,0.00017494146121858184,0.0001078075705827234,5.970976017102253e-05
hw_pdf4lhc_unc_13,0.0005437671086534161,4.834047024139781e-05,6.892392998701852e-05,0.0002569327828763213,0.00031687728833621674,0.00027684117463423123,0.00017466148592314054,0.00010737828050709001,5.9092492949585525e-05
hw_pdf4lhc_unc_14,0.0005452023319137257,4.830609938177922e-05,7.527114104221863e-05,0.0002570462747727042,0.00031707460545754075,0.00027746438814106237,0.00017498143379176187,0.0001073951811233142,5.914856063743626e-05
hw_pdf4lhc_unc_15,0.000543788635198005,4.83209310186997e-05,6.968458653013268e-05,0.00025692099124641405,0.00031682990612695003,0.00027683656632146886,0.00017458250236951196,0.00010731797522881382,5.908433162178868e-05
hw_pdf4lhc_unc_16,0.0005439190496217215,4.84114157876363e-05,6.926998299426248e-05,0.0002567276358404051,0.0003167187359178575,0.0002770585453709258,0.00017489348562046481,0.00010772191421093443,5.943837528400129e-05
hw_pdf4lhc_unc_17,0.0005438557114932542,4.8328870198713566e-05,6.96339745597376e-05,0.00025687895945907994,0.0003168196147790579,0.0002769639941429047,0.00017464176066526462,0.00010737298578463505,5.912055478825567e-05
hw_pdf4lhc_unc_18,0.0005437795696943102,4.830662802525716e-05,6.928929344932018e-05,0.00025699296612177063,0.00031691948353194526,0.00027681498334896173,0.00017456096204568247,0.00010724360618891856,5.8983766373707666e-05
hw_pdf4lhc_unc_19,0.0005439855779638848,4.83907070709874e-05,6.962371908930294e-05,0.0002568065565476515,0.00031675301546879174,0.00027716211707183943,0.0001747709865616996,0.00010757095929287273,5.927780175519391e-05
hw_pdf4lhc_unc_20,0.0005438515944676455,4.837468368689408e-05,6.963130982963916e-05,0.00025679795967948075,0.0003167449440365873,0.00027695798222563984,0.0001747308263537282,0.0001075299782760426,5.927979404077222e-05
hw_pdf4lhc_unc_21,0.0005438915988938784,4.838119744354473e-05,6.927092450057973e-05,0.000256925782019801,0.00031683715777434615,0.0002770010074945871,0.00017464837827792538,0.00010744228130497694,5.9217987866421076e-05
hw_pdf4lhc_unc_22,0.0005442912997684452,4.84564320181692e-05,7.012696381897553e-05,0.00025657444665198984,0.0003165652498571128,0.00027768422082865895,0.0001750048724580662,0.00010791188154823212,5.9690803251337806e-05
hw_pdf4lhc_unc_23,0.000543878446598069,4.83649249475049e-05,6.964862266505357e-05,0.00025682726906092296,0.00031677038856288555,0.00027700355188273385,0.00017470711872365468,0.00010747954756835304,5.919919452297603e-05
hw_pdf4lhc_unc_24,0.000543885645601487,4.841219672774679e-05,6.956052194459473e-05,0.00025679111994501266,0.000316751681985903,0.00027691925879415194,0.00017481530577881222,0.00010761981129210896,5.940698910424672e-05
hw_pdf4lhc_unc_25,0.0005439290292175393,4.841544222798474e-05,6.957852434236078e-05,0.000256776983576138,0.00031673268505399066,0.0002770403589717089,0.00017479889453067692,0.00010763276882217097,5.9403052961318735e-05
hw_pdf4lhc_unc_26,0.0005442967384684407,4.844056984436828e-05,7.144853347195412e-05,0.000256864373181107,0.00031686375792054915,0.00027702644886859874,0.00017485019696628955,0.00010757897340556422,5.946536976337632e-05
hw_pdf4lhc_unc_27,0.0005438262026329029,4.8376000228442135e-05,6.913739655757919e-05,0.0002568779513742274,0.00031682081662681033,0.0002769243523412515,0.00017470209190438956,0.00010747300595449058,5.9216932330851686e-05
hw_pdf4lhc_unc_28,0.0005438413406257919,4.8335810886924783e-05,6.936164016167821e-05,0.0002569144753255082,0.0003168480824874702,0.0002769439498078652,0.00017463379890822285,0.00010737672940008913,5.910654746233335e-05
hw_pdf4lhc_unc_29,0.000543896819061128,4.8360227583919135e-05,6.983073438529308e-05,0.00025682440427804925,0.0003167631366012344,0.000277010200894455,0.00017468505297391236,0.00010747533029745758,5.925016127569618e-05
