,ALL,UNKNOWN,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_pdf4lhc_unc_21,0.00036023886794197136,3.9036657116690024e-07,0.00011450385619507253,1.3355744730028665e-05,6.970097089058364e-06,2.950345967853771e-06,1.2182319392825507e-06,2.471782077425434e-05,1.1331678057364016e-05,4.287979438697277e-06,1.4934090748505783e-06,0.00014071680103847227,0.00024087431127553925,0.000127732686307691,0.00010033566958523469,3.725847625017224e-05,3.879343766020393e-05,4.579664269772386e-05,2.5882997059766006e-05,3.411532671926568e-05,4.160900404425192e-05,3.3291983036233257e-05,2.3083965589002245e-05,2.675967048594145e-05,1.1030906694495159e-05,1.3147966385156478e-05,8.231306457122738e-06,9.901993694979278e-06,6.076489949448743e-06,6.995905244418641e-06
hw_pdf4lhc_unc_22,0.0003602227530411486,3.878700912000504e-07,0.00011307049784510253,1.330810105863796e-05,6.9177823179109435e-06,2.9243903664469034e-06,1.1941307721634688e-06,2.46248857586811e-05,1.1244236643945467e-05,4.230541024785987e-06,1.475765426999327e-06,0.00014097880501716365,0.00024127063738895748,0.00012790176637118096,0.00010040264822198499,3.722588109410787e-05,3.885217584338073e-05,4.582670683544276e-05,2.5863292838208824e-05,3.415816781341575e-05,4.1629419321420974e-05,3.32655072498284e-05,2.3085350105306867e-05,2.6742060843461307e-05,1.1016301297752773e-05,1.3120471421084105e-05,8.208654380074184e-06,9.863389852702855e-06,6.037343398222446e-06,6.934066363745464e-06
hw_pdf4lhc_unc_23,0.00036025334735059853,3.8730896598534225e-07,0.00011302490439865602,1.3294757955139311e-05,6.910712865421829e-06,2.919959014561428e-06,1.190828987315004e-06,2.459837589689586e-05,1.1231770260633879e-05,4.2230008226671815e-06,1.461646332907599e-06,0.0001410678697328774,0.00024132660953786068,0.00012789374034933673,0.00010037317381471922,3.720293914810091e-05,3.884912636638962e-05,4.581019437724059e-05,2.5846369834663172e-05,3.4151946538917164e-05,4.1611402234409895e-05,3.324150549714551e-05,2.3076442358479424e-05,2.6729833769275495e-05,1.1011445769932116e-05,1.3112117011315517e-05,8.202690337953054e-06,9.855628625130042e-06,6.032981668947405e-06,6.927931999720885e-06
hw_pdf4lhc_unc_24,0.00036021789633140143,3.878316379177545e-07,0.00011302507142591288,1.3309150267486934e-05,6.913542202582813e-06,2.9112755710724044e-06,1.1968106985665172e-06,2.462152098979821e-05,1.1240688591214008e-05,4.237208049937752e-06,1.48842643564867e-06,0.00014099115773255028,0.0002412754803746297,0.0001279134597175277,0.00010040069756162187,3.722379466968611e-05,3.8854659797602876e-05,4.582465937631599e-05,2.586172702700911e-05,3.4157502901754466e-05,4.1623757920975036e-05,3.3258902542716506e-05,2.3085364724816226e-05,2.6739529383062586e-05,1.1017722352185996e-05,1.3119787644272711e-05,8.211977216550831e-06,9.862983636224696e-06,6.030139628818451e-06,6.930692763424787e-06
hw_pdf4lhc_unc_25,0.0003602054778572178,3.8768106803810483e-07,0.00011298946543513395,1.33157980194757e-05,6.918243961307479e-06,2.9123284751830698e-06,1.1949106764757875e-06,2.4648146206520996e-05,1.1255107283634389e-05,4.2346083115510824e-06,1.4825783983629259e-06,0.000140951729060462,0.0002412707561491154,0.00012789590149468757,0.00010042708972857972,3.724040771963545e-05,3.885267948041516e-05,4.584240810858217e-05,2.5877621449767175e-05,3.416740063456842e-05,4.1656580111673395e-05,3.329645168388482e-05,2.3085883941980623e-05,2.675270486158745e-05,1.1014332502344134e-05,1.3121247316375919e-05,8.206470085402535e-06,9.862340823001027e-06,6.020706563399721e-06,6.9257323891669825e-06
hw_pdf4lhc_unc_26,0.0003602141711807512,3.880275880107203e-07,0.0001129587485502123,1.3310498692737561e-05,6.91605713330066e-06,2.9233901063269498e-06,1.1932391422407812e-06,2.4633609470234303e-05,1.124603611115686e-05,4.2303901803867516e-06,1.487077937373512e-06,0.0001409631602718278,0.00024128787483290387,0.00012792073821012826,0.00010042410848240252,3.7231655885147615e-05,3.8858942848279275e-05,4.583881233416313e-05,2.5870519178909345e-05,3.4166841827933464e-05,4.16444003548818e-05,3.327985519184099e-05,2.308757844302616e-05,2.6747101986486127e-05,1.1014858193677562e-05,1.3121019692818172e-05,8.2075879612909e-06,9.861764935974372e-06,6.035928751703364e-06,6.930329921439048e-06
hw_pdf4lhc_unc_27,0.00036018695876289446,3.8843088091381684e-07,0.00011278528401239525,1.3344942243134704e-05,6.931900386781268e-06,2.9164855308519544e-06,1.193613426285214e-06,2.470955643477741e-05,1.128328844045114e-05,4.242095673053339e-06,1.4873993654800852e-06,0.0001407602098437607,0.0002412554903032082,0.00012799058158090063,0.00010056743487764223,3.7313562788399034e-05,3.888628738151172e-05,4.591694461106437e-05,2.5933660539326958e-05,3.420677612338386e-05,4.173567165962712e-05,3.337640338646914e-05,2.3113935085594205e-05,2.6797777417791706e-05,1.102389051550895e-05,1.3139522499179821e-05,8.209889595529266e-06,9.872094214034406e-06,6.013616062646393e-06,6.9198169317909745e-06
hw_pdf4lhc_unc_28,0.0003602173797624887,3.8788264320589604e-07,0.00011291232624638445,1.330218863373187e-05,6.9122157787165246e-06,2.9226132744673075e-06,1.194148027477965e-06,2.461353754821358e-05,1.1237297103368511e-05,4.228311168344232e-06,1.4871711220634838e-06,0.00014102476038560266,0.00024131903843165744,0.00012791447343821322,0.00010039237040864347,3.721169083935693e-05,3.885437145778673e-05,4.581878128144662e-05,2.5854001018958084e-05,3.41567654151621e-05,4.1619112163919146e-05,3.32525882200845e-05,2.308245176334611e-05,2.67343218636229e-05,1.101464562654916e-05,1.3117129974972245e-05,8.20887137464678e-06,9.860204340446247e-06,6.034136952525899e-06,6.933247032168275e-06
hw_pdf4lhc_unc_29,0.0003602371787390307,3.876809000395343e-07,0.00011304851364660271,1.3300568873754467e-05,6.90877606755966e-06,2.9068987295305527e-06,1.1925211619752543e-06,2.461205214386306e-05,1.123446753174759e-05,4.226218876333058e-06,1.486886234528993e-06,0.00014102723084927918,0.00024130072611275929,0.00012789766108021054,0.00010038233279592376,3.72094268766599e-05,3.885015670435642e-05,4.5815835648740154e-05,2.585340454210408e-05,3.415574892112484e-05,4.161910029909339e-05,3.325264234278529e-05,2.3076884101685088e-05,2.673293711404447e-05,1.101308550796325e-05,1.31130660018161e-05,8.204676143925937e-06,9.859608796926181e-06,6.020511257646649e-06,6.923894256143357e-06
hw_qcd_0,0.00037624061949912747,3.851720560018173e-07,0.00011756518915137496,1.286253851896687e-05,6.626101048311567e-06,2.761308638215971e-06,1.125223460524188e-06,2.399302712039037e-05,1.0818508869923596e-05,4.038088202971995e-06,1.3946563302580286e-06,0.0001621702944319878,0.00025000354331910054,0.00012849359777686523,9.970974499734447e-05,3.76680495958461e-05,3.9160823184299484e-05,4.570546185759524e-05,2.6052154680451835e-05,3.4283893389082104e-05,4.156537965616894e-05,3.3347237814073275e-05,2.3208201505262785e-05,2.684154182438688e-05,1.1151571200832002e-05,1.3232457541471691e-05,8.354151130462903e-06,9.97652541517087e-06,6.240654911880156e-06,7.099040221890401e-06
hw_qcd_1,0.00037551601881883213,3.8238389385196496e-07,0.00011566604812599028,1.2377468993728585e-05,6.346843343483385e-06,2.6412699674745316e-06,1.0755929621096992e-06,2.305762205071996e-05,1.0349113089408628e-05,3.852985152892173e-06,1.3338893572270034e-06,0.0001680842384283519,0.00024819454440765397,0.00012726554870015337,9.819785964344253e-05,3.657164190049626e-05,3.883675133584295e-05,4.4958013140719983e-05,2.5287683871474227e-05,3.386895122287326e-05,4.076837519129873e-05,3.234098521018191e-05,2.2705750660782778e-05,2.6165546850920925e-05,1.084566384303393e-05,1.2828999421568209e-05,8.08091126317573e-06,9.63798919591102e-06,5.983997052855841e-06,6.8076534905084295e-06
hw_qcd_2,0.00037525241031425416,3.7958777759696273e-07,0.00011436512936824251,1.2059615200358103e-05,6.151893181013195e-06,2.5499809447626804e-06,1.036089532337341e-06,2.243951709577162e-05,1.001989543928793e-05,3.715166386771342e-06,1.2852925666886563e-06,0.00016750209507713395,0.0002489906660052919,0.0001277707997055958,9.808230855595927e-05,3.5935949732960645e-05,3.897542423018839e-05,4.4822096928044806e-05,2.4844431957880724e-05,3.392374136791461e-05,4.055417359777072e-05,3.177249198681061e-05,2.254347913807771e-05,2.5883134240519216e-05,1.072390174645395e-05,1.2637232474498784e-05,7.953002358403147e-06,9.465987108592068e-06,5.8507924205706766e-06,6.6449382645256504e-06
hw_qcd_3,0.00036174038094685,3.966802195619892e-07,0.00011739339679616524,1.44525762487136e-05,7.575071823426453e-06,3.210335444342285e-06,1.321764269635064e-06,2.67841366755267e-05,1.2335684286162365e-05,4.672260113920094e-06,1.6462145226360645e-06,0.00012874256096197695,0.00024103743084869476,0.00013160770532895507,0.00010540749697316516,3.988145939591704e-05,4.002952521635813e-05,4.829701139080195e-05,2.7724128880026986e-05,3.545727440598088e-05,4.4065244344263734e-05,3.573673101720202e-05,2.4360754734428482e-05,2.845494010187512e-05,1.1711603453840702e-05,1.4052485140923518e-05,8.790737800055341e-06,1.0618155285062167e-05,6.518819216894559e-06,7.538230917367632e-06
hw_qcd_4,0.0003616002452399086,3.822793082292003e-07,0.0001107114113756835,1.2523439131416951e-05,6.451863402447954e-06,2.6961629483320064e-06,1.1010316489651775e-06,2.314135664846601e-05,1.0478175366948226e-05,3.915018596051125e-06,1.372566412022813e-06,0.00015041560677012147,0.0002429482589590436,0.000125962448992318,9.728641000076766e-05,3.544923324431806e-05,3.821888728353639e-05,4.4257824884278484e-05,2.4617462361782024e-05,3.341002061844577e-05,4.006369482307729e-05,3.160678819123006e-05,2.2282500452754952e-05,2.5631089169676453e-05,1.0573748302135082e-05,1.2505906554681153e-05,7.833601357727633e-06,9.364273364586766e-06,5.7035308639594575e-06,6.521880298105589e-06
hw_qcd_5,0.0003613239689401759,3.905274370271494e-07,0.00011788028196575816,1.4277708215804727e-05,7.568200103982311e-06,3.2454958794416058e-06,1.3468608509772501e-06,2.6418581135418182e-05,1.2305877533606642e-05,4.709447267889779e-06,1.6827416903171548e-06,0.00012485619502949666,0.00024238286765512833,0.00013297826974676633,0.00010482722304386737,3.8788624609141476e-05,4.0270199141064796e-05,4.764616210355185e-05,2.6975241255722568e-05,3.567232721124251e-05,4.352147232837765e-05,3.48426967440455e-05,2.4234482038905837e-05,2.8153118544789148e-05,1.1669131645753573e-05,1.3922881053962173e-05,8.773708479745377e-06,1.0533510843582663e-05,6.49867759326493e-06,7.4792375412797166e-06
hw_qcd_6,0.0003609982567145576,3.7961142739657435e-07,0.00011364519599831983,1.2919157441640338e-05,6.768600174228403e-06,2.873088920754549e-06,1.1855998364682948e-06,2.3861545824503204e-05,1.0988064403833609e-05,4.165782142146953e-06,1.4800546000904092e-06,0.00014066697161239507,0.00024385160016784818,0.00012847315643236258,9.88142847847021e-05,3.5688667601590486e-05,3.884028617240378e-05,4.470040272050675e-05,2.4800758961599222e-05,3.410263064487275e-05,4.062428588461435e-05,3.195233225312519e-05,2.2732510674058296e-05,2.6139035174683612e-05,1.0855808802219672e-05,1.2829239627873173e-05,8.095997320936525e-06,9.65226841147735e-06,5.929197858565332e-06,6.772807226387348e-06
hw_qcd_7,0.00036343640183487415,3.7460546280139544e-07,0.00011144361600958511,1.2020914777739154e-05,6.231824782271168e-06,2.6200687507896884e-06,1.0744637829408695e-06,2.2164184367028964e-05,1.0102308464341483e-05,3.7957613772559387e-06,1.3400189764872941e-06,0.00015266366346143497,0.0002461602838153933,0.00012602853348392683,9.510142150980239e-05,3.367989195680641e-05,3.805901550639248e-05,4.285746082151617e-05,2.3389373287407823e-05,3.31906057660756e-05,3.8791947319537486e-05,3.006905002811311e-05,2.1803121712021478e-05,2.4861484388039243e-05,1.0343634818407116e-05,1.212742971097796e-05,7.665420462790158e-06,9.082219310997067e-06,5.5630742732144504e-06,6.310545091064715e-06
