,ALL,UNKNOWN,GG2HLL_FWDH,GG2HLL_PTV_0_75_0J,GG2HLL_PTV_75_150_0J,GG2HLL_PTV_150_250_0J,GG2HLL_PTV_250_400_0J,GG2HLL_PTV_GT400_0J,GG2HLL_PTV_0_75_1J,GG2HLL_PTV_75_150_1J,GG2HLL_PTV_150_250_1J,GG2HLL_PTV_250_400_1J,GG2HLL_PTV_GT400_1J,GG2HLL_PTV_0_75_GE2J,GG2HLL_PTV_75_150_GE2J,GG2HLL_PTV_150_250_GE2J,GG2HLL_PTV_250_400_GE2J,GG2HLL_PTV_GT400_GE2J,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,0.0012057253258757061,2.701311757353089e-05,0.00011852663609697255,0.00018591502576829465,0.0003019179465646752,0.00020143547652016206,6.103697726550455e-05,1.3194640451703655e-05,0.00016430238891516636,0.00026273184906489813,0.0002121148840412578,8.781935504065185e-05,2.397949270118309e-05,0.00012584044209535176,0.0002000026024840369,0.0001849512804975389,0.00010155310498847609,3.640122377899844e-05,0.00018075979732787067,7.48902179240829e-05,3.52367954924416e-05,1.6341675559216567e-05,6.4385131457912575e-06,0.00033668171919149403,0.00014708865624735574,4.465177901305535e-05,1.2122360329834614e-05,1.3213412748324351e-05,6.902444759872257e-05,0.00016800376775629556,0.00026073107982631623,0.0002030819445529702,0.00014818418634651178,0.00026822010276171554,0.00030105065946471393,0.00021078887125121026,0.00038553417966468573,0.0004670864641920566,0.00010184147992638134,0.0002637515155916316,4.25622652796758e-05,0.0001143437452078499,2.7747390665287907e-05,7.200575960820252e-05,1.3269781618963625e-05,4.172763785694755e-05
hw_alphaS_up,0.001205811761713157,2.7358791941711256e-05,0.00012079403966438793,0.0001857637755824949,0.00030159332279891,0.00020122911151105853,6.103416028141735e-05,1.3210037145502757e-05,0.00016417872745348855,0.00026247071565168727,0.00021189330791413123,8.777908916534533e-05,2.3994075555720894e-05,0.00012575344798947908,0.00019980465624211757,0.00018477821941270073,0.0001015002705928286,3.6403280214410835e-05,0.0001844978187572181,7.488497507522856e-05,3.5278220980039514e-05,1.6370040448853936e-05,6.4577139460366244e-06,0.00033660737415274215,0.00014714053669889938,4.470741004469677e-05,1.215978631975601e-05,1.3213221245801756e-05,6.90150089629097e-05,0.00016795826507006917,0.0002606013914317049,0.00020296710354855726,0.00014811316821606704,0.0002680573573955344,0.00030086039312712565,0.00021066486486372385,0.00038529034194057524,0.0004667799117686474,0.0001018024002692415,0.00026362627090063015,4.2588394278911325e-05,0.00011438548398881837,2.7841955094064092e-05,7.213442383398655e-05,1.332358497880057e-05,4.188667597744428e-05
hw_alphaS_dn,0.0012057089296084256,2.6767564674267123e-05,0.00011695393864279351,0.00018593105652581644,0.0003021374861421583,0.00020170232231154293,6.113924105863453e-05,1.3220267634890136e-05,0.00016432742895264315,0.00026291115190251683,0.00021236773121628626,8.795162531819384e-05,2.4018871017161218e-05,0.00012586712226420862,0.00020014556436619979,0.00018514354991207006,0.00010167923936569042,3.6459963310579286e-05,0.00017812673245805183,7.495354639919595e-05,3.525679783391801e-05,1.6361850199637473e-05,6.446317043899369e-06,0.0003369376248893895,0.00014721702865670125,4.468854723324374e-05,1.2120623701174943e-05,1.3203697012834701e-05,6.89737561281982e-05,0.00016792159009617976,0.00026072017818245993,0.00020318096911238273,0.00014814154660873653,0.00026824730879245986,0.0003012278609030009,0.0002107584692410795,0.0003855943821057256,0.0004673483385276186,0.00010185729342673595,0.0002638294411965727,4.2547909164892044e-05,0.0001143305920874471,2.7688012333521994e-05,7.193767003738233e-05,1.3240483797248933e-05,4.162843680764597e-05
hw_pdf4lhc_unc_0,0.0012057093682349156,2.6831513139691865e-05,0.00011722650218773555,0.00018611244833623096,0.0003020873716606041,0.00020139101089456274,6.0921501241918646e-05,1.3129118122828973e-05,0.00016445677739073178,0.0002628763295636377,0.00021210914836277474,8.771480750153746e-05,2.3910465525603637e-05,0.00012594246756320585,0.0002001027016162275,0.0001849604669821379,0.00010149103618682342,3.6327208417037067e-05,0.00017878768399366338,7.483098795800825e-05,3.516023109902662e-05,1.626744499226613e-05,6.391633078700544e-06,0.00033652286339533983,0.00014688523619973672,4.453021479572908e-05,1.2086572381545866e-05,1.3226869029300642e-05,6.91047016169113e-05,0.00016819042306123765,0.0002609403678949898,0.0002031189064901845,0.000148360141594305,0.000268421287755237,0.0003010956435998033,0.00021104613300237092,0.0003858452809580557,0.0004672239592095541,0.00010188279670323784,0.0002638744511567704,4.253208260615877e-05,0.00011428722164751927,2.7688411732355824e-05,7.18778011220872e-05,1.3201428069204644e-05,4.160656740364194e-05
hw_pdf4lhc_unc_1,0.0012057439714621573,2.6858367185104902e-05,0.0001173280624424431,0.0001862025291525717,0.0003021778469842327,0.00020130088906880327,6.0821508582493034e-05,1.3106050246576984e-05,0.00016451456767221147,0.0002629247671491419,0.00021204499385385042,8.76183270399195e-05,2.386514994674797e-05,0.00012596841137890862,0.00020012322596538783,0.00018490676624188137,0.00010138333203488344,3.626432946431544e-05,0.00017891700924058208,7.475980113725222e-05,3.5108144979244684e-05,1.623251535921128e-05,6.3826809940717405e-06,0.0003362700249105115,0.0001466869416941207,4.445116812943358e-05,1.2048189964982037e-05,1.3238568696231157e-05,6.915196359620182e-05,0.00016827176084513958,0.00026104721184089767,0.00020313568442254028,0.00014842047580479012,0.00026853493919055574,0.0003010984855795803,0.00021109762990166378,0.00038594017211683314,0.00046720619884335006,0.00010189508261545053,0.00026383436928087385,4.2557732339328244e-05,0.00011431271452447504,2.7698615590777925e-05,7.193325052636206e-05,1.3245257345398952e-05,4.164356131488049e-05
hw_pdf4lhc_unc_2,0.0012057214183665748,2.69314125448559e-05,0.00011791724681302357,0.00018599320576792144,0.00030200060942026596,0.0002014300916027506,6.0993687724288335e-05,1.3173196456715817e-05,0.0001643626681192188,0.00026279698063638783,0.00021212511493900506,8.778637714893429e-05,2.3953388296995664e-05,0.000125877982534004,0.00020004868387707412,0.00018496213304107376,0.00010152737776270512,3.6374720856355504e-05,0.0001797922538830431,7.48695885450523e-05,3.5207571221216903e-05,1.6317485984215584e-05,6.424225203749963e-06,0.00033662544473674955,0.00014701298426403418,4.4606732826753225e-05,1.2102571282598317e-05,1.3220717152841553e-05,6.905727968576984e-05,0.00016807628461719764,0.00026082404500064063,0.00020311163991380143,0.0001482506500162517,0.00026831269144260216,0.00030109084823740594,0.00021088125425030224,0.000385661884594351,0.00046716226345402246,0.00010186425232192168,0.0002637988104767242,4.256093630120036e-05,0.00011433957231739861,2.772653736306755e-05,7.197991955910212e-05,1.325878375795535e-05,4.1689166585437664e-05
hw_pdf4lhc_unc_3,0.0012058104618068767,2.7009908853889627e-05,0.00011830853104283771,0.00018620476930745661,0.0003021563006399928,0.00020121434835915637,6.078523002018719e-05,1.3120441208186525e-05,0.00016450442156133372,0.00026288435581643736,0.00021196580679824585,8.757792581820295e-05,2.3859555210032998e-05,0.00012594886970032022,0.0002000840381897177,0.0001848379596035927,0.00010130987480043237,3.624562484428274e-05,0.00018037784364325406,7.471996605388655e-05,3.510257063448752e-05,1.6243278104088522e-05,6.4021283553997366e-06,0.00033608951906871577,0.0001466066135893454,4.4445610090317e-05,1.2033981815171918e-05,1.3246289710403636e-05,6.916954168542365e-05,0.00016827597691238674,0.0002610453452862803,0.00020311379686656939,0.00014840033083325532,0.0002685321851195118,0.0003010454226954446,0.00021102760832550864,0.00038585783873862773,0.0004670704409981742,0.00010188575245177129,0.000263724475279606,4.2601950853926745e-05,0.00011437351325452169,2.774852692254907e-05,7.206843141061006e-05,1.3328619308578263e-05,4.1758184207827366e-05
hw_pdf4lhc_unc_4,0.0012057717796460316,2.6500466384963405e-05,0.00011498497567599454,0.0001869098826721924,0.0003026461098017205,0.00020094224423874564,6.0311603769627236e-05,1.2887824256768812e-05,0.0001650383725533064,0.00026330403419767823,0.0002118264422057181,8.713129986261288e-05,2.358494252183551e-05,0.0001263131457757122,0.00020039155908065022,0.00018478424100276713,0.00010101100830116096,3.5948840088668845e-05,0.00017530966168757562,7.446164238068642e-05,3.480591293391764e-05,1.5973653373740387e-05,6.243338721170717e-06,0.0003353301521543612,0.00014577985170009943,4.3980140038222916e-05,1.1871512524415263e-05,1.3289747795846691e-05,6.946870082165356e-05,0.0001689485268352634,0.0002617314022225877,0.00020316489014516652,0.0001490091818579998,0.0002691735635026234,0.0003010903682336412,0.000211908335567965,0.0003868346408335444,0.0004673446873680312,0.00010200286105450462,0.0002640829568049579,4.248745753808841e-05,0.00011415986903674596,2.755973018142415e-05,7.163722352659496e-05,1.311785947752301e-05,4.1400532860439946e-05
hw_pdf4lhc_unc_5,0.0012057387070332037,2.6710155661595772e-05,0.00011632876626509364,0.00018626638520905355,0.00030225667501291133,0.00020135326216111002,6.081858269777045e-05,1.3093021827348432e-05,0.00016457018692604136,0.0002629987896502841,0.000212104111848834,8.762970476191048e-05,2.385671133242622e-05,0.0001260080603415288,0.00020018243996421852,0.0001849574048002672,0.00010141005179440636,3.626690394184541e-05,0.00017737036255463266,7.477238609007157e-05,3.509792962896239e-05,1.6221638323932593e-05,6.370688680783503e-06,0.00033634064773007115,0.0001466953953954182,4.4434010402751314e-05,1.2041454394784583e-05,1.3242679976850903e-05,6.91734142462937e-05,0.00016833086646680635,0.0002611261026688363,0.0002031784400305206,0.00014848382141000916,0.00026861258256231886,0.0003011705100199458,0.00021120083658604763,0.00038607878187960537,0.00046734507814745176,0.00010192273424623516,0.00026392954739405574,4.2542822525898304e-05,0.00011429615652726983,2.7662879581670107e-05,7.186411359289039e-05,1.3206350127397317e-05,4.1564323576022256e-05
hw_pdf4lhc_unc_6,0.0012057220782961942,2.70339281365083e-05,0.00011866266947791943,0.00018591133582129702,0.00030190472352692005,0.00020142366277281585,6.103627731847011e-05,1.3193373616098087e-05,0.00016429868756218246,0.0002627215705729943,0.00021210312910770467,8.781494365584316e-05,2.3979433129190105e-05,0.00012583755475966413,0.0001999935297357836,0.00018494264392195735,0.00010154977031084388,3.6399310183245634e-05,0.00018096768620953088,7.488709528511627e-05,3.5236616774756505e-05,1.6340583790856344e-05,6.437528391906506e-06,0.00033666989584563443,0.00014708635241162313,4.465166500323853e-05,1.2125423028726139e-05,1.3212788641241587e-05,6.90232656369698e-05,0.00016800098893181108,0.00026072126113094364,0.00020307131149310538,0.00014818180694802584,0.0002682087733292103,0.00030103366065621016,0.0002107837966672032,0.0003855190085353678,0.0004670611671978805,0.00010183675703964274,0.00026374047355907167,4.2560544526515674e-05,0.00011433898271050276,2.7750650989315904e-05,7.200688289472749e-05,1.3267457528579486e-05,4.1732959840420333e-05
