,ALL,UNKNOWN,QQ2HLNU_FWDH,QQ2HLNU_PTV_0_75_0J,QQ2HLNU_PTV_75_150_0J,QQ2HLNU_PTV_150_250_0J,QQ2HLNU_PTV_250_400_0J,QQ2HLNU_PTV_GT400_0J,QQ2HLNU_PTV_0_75_1J,QQ2HLNU_PTV_75_150_1J,QQ2HLNU_PTV_150_250_1J,QQ2HLNU_PTV_250_400_1J,QQ2HLNU_PTV_GT400_1J,QQ2HLNU_PTV_0_75_GE2J,QQ2HLNU_PTV_75_150_GE2J,QQ2HLNU_PTV_150_250_GE2J,QQ2HLNU_PTV_250_400_GE2J,QQ2HLNU_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,0.0010307567891167432,2.3151757453327754e-06,0.0007848792807085813,0.000216455384705001,0.00017247190501774618,8.693418658055867e-05,4.312887094485525e-05,1.977495495717195e-05,0.00011692012198469727,0.00010182137629614129,6.077649256485909e-05,3.167558992798402e-05,1.603749204636114e-05,7.90644060891532e-05,7.406990055407436e-05,4.898205178994743e-05,2.780865644687451e-05,1.4855064406462488e-05,0.00022496289449391927,0.00012989423678387213,0.00030711651802682507,6.709054409056193e-05,0.00023227824889731407,0.00010155131783305635,7.648305467261108e-05,0.00019001085485009767,0.0001767581602607683,3.536833635769694e-05,7.92225163589228e-05,1.2553631214061564e-05,3.1909234436161126e-05,7.5042894172364e-06,2.0815256415292455e-05,3.961622855539328e-06,1.2755230428905558e-05,1.7030115924836046e-05,4.1065931943340845e-05,7.640698218734086e-06,1.9855160536025766e-05,5.460072570415441e-06,1.410887430352181e-05,3.217746470182426e-06,9.096880622306939e-06
hw_alphaS_up,0.0010254608219004682,2.323013918369707e-06,0.0007779844315850756,0.00021613047239041116,0.00017157711810732344,8.659456462958658e-05,4.289328543378631e-05,1.9622560736551507e-05,0.00011757366231604067,0.00010236221544596023,6.106370376582804e-05,3.17921086412966e-05,1.607310090735672e-05,7.946921076485741e-05,7.441044419755304e-05,4.915672899276275e-05,2.7887534591081823e-05,1.4873146664133356e-05,0.000224516955597621,0.00012965794800473408,0.0003066174434397736,6.697397460353145e-05,0.0002315303937550976,0.00010208828867777994,7.670661172695768e-05,0.00019092379165074663,0.0001776681774683351,3.557859471688947e-05,7.955456327886689e-05,1.2598727106368213e-05,3.202028137532944e-05,7.536686649024616e-06,2.087104992937954e-05,3.978278171817134e-06,1.2771983477073514e-05,1.7071665762393362e-05,4.117415171311411e-05,7.6586764604631e-06,1.9866716947705284e-05,5.466068779099762e-06,1.4183179007328776e-05,3.2150150110931703e-06,9.086197587029614e-06
hw_alphaS_dn,0.0010336531140600594,2.2975151413743384e-06,0.0007883681342028682,0.00021658861291973028,0.00017387892253360428,8.74256162085672e-05,4.351258890251897e-05,2.0055299705584715e-05,0.00011622698821996312,0.00010129586038299074,6.052729000811132e-05,3.161089134379138e-05,1.607439815209517e-05,7.858598462719917e-05,7.365174017728557e-05,4.873098789812533e-05,2.7680797057259478e-05,1.4814787166909235e-05,0.00022587440686575513,0.0001300903239430376,0.00030763684266383527,6.723488961573893e-05,0.00023318377357518536,0.00010100556570206854,7.628017666723737e-05,0.00018916700841527793,0.00017579563976244936,3.516470092175857e-05,7.876574125493377e-05,1.249975894552048e-05,3.171759720360343e-05,7.470810293459329e-06,2.0691847970198425e-05,3.9457352567323914e-06,1.2692108770662804e-05,1.69978160601213e-05,4.085430419707155e-05,7.620432008336703e-06,1.973489836916204e-05,5.429291903629086e-06,1.400957300395182e-05,3.2145295823897455e-06,9.047018465293918e-06
hw_pdf4lhc_unc_0,0.0010307567891167432,2.3151757453327754e-06,0.0007848792807085813,0.000216455384705001,0.00017247190501774618,8.693418658055867e-05,4.312887094485525e-05,1.977495495717195e-05,0.00011692012198469727,0.00010182137629614129,6.077649256485909e-05,3.167558992798402e-05,1.603749204636114e-05,7.90644060891532e-05,7.406990055407436e-05,4.898205178994743e-05,2.780865644687451e-05,1.4855064406462488e-05,0.00022496289449391927,0.00012989423678387213,0.00030711651802682507,6.709054409056193e-05,0.00023227824889731407,0.00010155131783305635,7.648305467261108e-05,0.00019001085485009767,0.0001767581602607683,3.536833635769694e-05,7.92225163589228e-05,1.2553631214061564e-05,3.1909234436161126e-05,7.5042894172364e-06,2.0815256415292455e-05,3.961622855539328e-06,1.2755230428905558e-05,1.7030115924836046e-05,4.1065931943340845e-05,7.640698218734086e-06,1.9855160536025766e-05,5.460072570415441e-06,1.410887430352181e-05,3.217746470182426e-06,9.096880622306939e-06
hw_pdf4lhc_unc_1,0.0010283246918913224,2.3214816962042584e-06,0.0007815771820706613,0.00021626240239680134,0.0001723444848570229,8.689408110437315e-05,4.304422825126662e-05,1.981496483699897e-05,0.0001169213432442349,0.00010176668775816178,6.071105366084471e-05,3.167876105318382e-05,1.599938749069763e-05,7.902810520928181e-05,7.405286871823103e-05,4.893366879331891e-05,2.7772398498686243e-05,1.4950021634318774e-05,0.0002258023680960184,0.00012995380652203384,0.0003071893163043524,6.70902531489011e-05,0.00023225019856706788,0.00010150488349487418,7.648024846567879e-05,0.00018995279876074305,0.00017665754288949571,3.533218617823669e-05,7.915515183978548e-05,1.2538388370181103e-05,3.1866684357297295e-05,7.466122311211341e-06,2.0778716290683546e-05,3.9731264629093074e-06,1.2749898994279133e-05,1.697207744198788e-05,4.103791873971296e-05,7.623671854450932e-06,1.9823699939408672e-05,5.454479048852291e-06,1.424848825905662e-05,3.1867210414536724e-06,9.057542794182371e-06
hw_pdf4lhc_unc_2,0.0010132364114969954,2.3325363236074843e-06,0.0007616621030151372,0.00021611754716250377,0.0001710725472979863,8.677481683734098e-05,4.3079509848273055e-05,1.9806394515661347e-05,0.00011746038056624065,0.00010215987980872934,6.090275399411966e-05,3.171324357650199e-05,1.6071508967748748e-05,7.953114013228113e-05,7.444255485774068e-05,4.918899494839655e-05,2.787127247062913e-05,1.4903704453740099e-05,0.0002244896282329883,0.00012985522788251,0.00030722056572459437,6.705029814790406e-05,0.00023206203279166468,0.00010191236259887921,7.658695070249272e-05,0.00019046790598471495,0.00017754946675342317,3.552101981501836e-05,7.957101689545743e-05,1.2594207378576363e-05,3.2044449545788155e-05,7.527371850179418e-06,2.0916941964793338e-05,3.987129136145883e-06,1.2815224360917665e-05,1.706592586254305e-05,4.122876824831844e-05,7.664759095524614e-06,1.9923510742724232e-05,5.489062100939651e-06,1.4241815706704903e-05,3.2155410458535874e-06,9.113851727107106e-06
hw_pdf4lhc_unc_3,0.0010324807475257673,2.311252946719452e-06,0.0007853060991585662,0.00021621160636515522,0.00017231059400248593,8.690107083297565e-05,4.3155002923359935e-05,1.9802468797981867e-05,0.00011688121813445686,0.00010177322327749292,6.0780092692090884e-05,3.184829820494872e-05,1.6045417843250115e-05,7.905043058854343e-05,7.408266534922842e-05,4.896293751067982e-05,2.7818748443427047e-05,1.4906207802398645e-05,0.00023161334117198357,0.00012988600186850146,0.00030712967736905576,6.706224955081868e-05,0.00023224245196759547,0.00010154747752079756,7.64573223454318e-05,0.0001900524875664516,0.0001768116158322812,3.532624265979503e-05,7.928334507311602e-05,1.2565609161018825e-05,3.194866731416487e-05,7.485670177831043e-06,2.0781412703733363e-05,3.960265736722019e-06,1.2804853941907625e-05,1.6999846881440515e-05,4.104906376244464e-05,7.622916003230177e-06,1.9828297395835938e-05,5.4533699155317906e-06,1.4153186224854136e-05,3.196656511107952e-06,9.058778301165141e-06
hw_pdf4lhc_unc_4,0.0010345960860496065,2.3242939924854025e-06,0.0007897244743547496,0.00021656495292577196,0.00017246363570689262,8.660806396371243e-05,4.280593704007307e-05,1.9473116502431703e-05,0.0001170761095233328,0.00010187205557235306,6.0699092801684404e-05,3.151948171255123e-05,1.5859890125669203e-05,7.928603460440246e-05,7.42375694965955e-05,4.905187506550885e-05,2.7798241867261757e-05,1.4806417273893771e-05,0.0002258954232774584,0.00012989052483626987,0.0003069606046861864,6.705552351317198e-05,0.0002319409396436811,0.00010163720522767,7.646428782926366e-05,0.00018990509369436317,0.00017700096914927566,3.5426985672472823e-05,7.941414447570416e-05,1.2559839453835545e-05,3.202099729619457e-05,7.5175328612459895e-06,2.0901067094113372e-05,3.984646430152026e-06,1.281210544993849e-05,1.693620774423551e-05,4.103816133940602e-05,7.5999062864118156e-06,1.985630497920525e-05,5.442980243447247e-06,1.4127453183894501e-05,3.2225581445198416e-06,9.14021804718611e-06
hw_pdf4lhc_unc_5,0.001031957787811871,2.307485017466921e-06,0.000786298469159496,0.00021638135450789754,0.0001725238621245366,8.701670376774832e-05,4.3149185111365136e-05,1.976894862821065e-05,0.00011695103014098449,0.00010180199722277758,6.0747900974262915e-05,3.164890948377834e-05,1.6002562285442596e-05,7.901242509810964e-05,7.400225300672005e-05,4.892203419978689e-05,2.773471624452447e-05,1.4807044854736584e-05,0.00022504359729408205,0.00013001823000987286,0.00030737351221025766,6.714748601009945e-05,0.00023249939228001145,0.00010152690505561735,7.651715233732635e-05,0.0001900450386323857,0.00017665841177423285,3.534002265945237e-05,7.91158566361877e-05,1.2529634839432015e-05,3.183900787472313e-05,7.471259491696105e-06,2.0760835655074602e-05,3.948463313168444e-06,1.2711513797074985e-05,1.699674497554938e-05,4.102024716027576e-05,7.608084133949137e-06,1.9784601913259197e-05,5.438518102771754e-06,1.4144268037035508e-05,3.1954334191089138e-06,9.045007509883371e-06
hw_pdf4lhc_unc_6,0.0010311088516457272,2.330284633311455e-06,0.0007851529617582661,0.0002163227363449828,0.0001722923919114709,8.688294031056934e-05,4.303983597775966e-05,1.9751403351111708e-05,0.00011697159732610671,0.0001017486216757689,6.071588010638152e-05,3.163620173329896e-05,1.601123844634858e-05,7.898708640919769e-05,7.403970487062964e-05,4.8920559565062294e-05,2.7776981220676748e-05,1.484801570615717e-05,0.0002261436549776109,0.00012996220092961926,0.0003071525312265046,6.707159206723695e-05,0.00023226570057076256,0.00010147651722618276,7.647171582704124e-05,0.000189913930709918,0.0001766286797366505,3.544039288471459e-05,7.914045021312448e-05,1.2522730889124235e-05,3.1854606685105375e-05,7.4743119524824944e-06,2.078365286326803e-05,3.963704491164475e-06,1.272881729082002e-05,1.6982309582383195e-05,4.1197052907395565e-05,7.643360062417456e-06,1.9869691177750127e-05,5.4754104796798885e-06,1.4509343687754591e-05,3.1903987465143124e-06,9.090878686820354e-06
