,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,0.0006442005984087394,1.9673094629167633e-06,0.00018301063296676252,0.00017581955058283648,0.0003751640718721277,4.533771834035497e-05,6.432906440575312e-05,0.00017508869076558807,5.736939213761401e-05,7.220114483631417e-05,0.00012243036816111423,0.00020428636289689664,0.00011259412524541217,0.0001498270883068303,7.60792384561663e-05,0.00014387458716014564,6.860646846064709e-05,0.00014908995662926176,5.9307403278619286e-05,4.70557112913362e-05,4.175987898958332e-05,4.437621149646498e-05,3.425670339495875e-05,4.973438719086488e-05,3.5390900717037405e-05,5.9707310278826994e-05,3.610324580473915e-05
hw_alphaS_up,0.000644627468835467,1.9883467131429673e-06,0.00018287071800652437,0.0001764027915374179,0.0003757267790074371,4.539669483463046e-05,6.437890100486672e-05,0.000175170863629792,5.7399437285306466e-05,7.22833608258916e-05,0.00012253261474606277,0.00020436596163388583,0.0001126870865405133,0.0001506300801246357,7.607167864377965e-05,0.00014360374783718938,6.85400712734662e-05,0.00014856331947141592,5.910632932385845e-05,4.69074794014345e-05,4.1661141211082723e-05,4.4230371805550244e-05,3.417853319404971e-05,4.9584326236594324e-05,3.525531371774937e-05,5.926522553664754e-05,3.587889339430384e-05
hw_alphaS_dn,0.000644356509825126,1.9545421450049767e-06,0.00018416987796079806,0.00017539091209763558,0.00037472716493077156,4.5285575003217726e-05,6.431347449676518e-05,0.0001751399660574115,5.735537258399185e-05,7.215973456543e-05,0.00012238752770234976,0.00020426499443299467,0.00011254782509214717,0.00014910356832433124,7.609893216886024e-05,0.00014412793655689722,6.868176779377062e-05,0.00014999161531868997,5.946210601127535e-05,4.720772473877212e-05,4.1860999765664315e-05,4.451692958697467e-05,3.434501594408305e-05,4.98908153026684e-05,3.552347843532176e-05,6.00547365087839e-05,3.6289279736979014e-05
hw_pdf4lhc_unc_0,0.0006432398415130188,1.9595184244582854e-06,0.000180620568484026,0.00017533968811199923,0.0003750551705324193,4.5325820004377914e-05,6.421342603015395e-05,0.00017463984191008237,5.739163456420773e-05,7.216380833419613e-05,0.00012227733200257263,0.00020414557442974287,0.000112520279514988,0.00014963198485305916,7.61465721268608e-05,0.0001439216873649877,6.876422822435799e-05,0.00014932623706151484,5.954931631496585e-05,4.710101146765412e-05,4.180907892398212e-05,4.443624108889333e-05,3.429558722626607e-05,4.985274190248433e-05,3.548236951971535e-05,6.001471223023031e-05,3.6268980583310906e-05
hw_pdf4lhc_unc_1,0.0006475742190240728,2.063677367456769e-06,0.00018553039575340948,0.0001769371587893591,0.0003766682688398932,4.5540069109951703e-05,6.462442322572898e-05,0.00017595418487338548,5.76247106147959e-05,7.274274673187888e-05,0.00012308387788216547,0.00020516790030447067,0.00011324386117818741,0.00015053849994978868,7.648792784591708e-05,0.00014458701946537235,6.893876958631785e-05,0.00014973990314743292,5.941049555429991e-05,4.7208068196912926e-05,4.1855997176351696e-05,4.451436148597396e-05,3.4334753421272114e-05,4.978034147957506e-05,3.549896627710065e-05,5.9588373262824836e-05,3.604363728048443e-05
hw_pdf4lhc_unc_2,0.0006435237406020026,1.9662792570791368e-06,0.0001814746681492144,0.0001757329152643524,0.00037520272415518063,4.5344019029244595e-05,6.435149370011643e-05,0.000175057514269475,5.7385943902313915e-05,7.221890292651609e-05,0.00012243444186463281,0.00020434227697718594,0.00011263131497753013,0.00014920003416453618,7.607229253241527e-05,0.00014377217947952032,6.861153879401892e-05,0.00014869183593082974,5.934359924593214e-05,4.706404522659256e-05,4.176212375428557e-05,4.438709385391993e-05,3.426666474045652e-05,4.971099507743089e-05,3.5385663343716654e-05,5.9655683830256374e-05,3.6079453885004754e-05
hw_pdf4lhc_unc_3,0.0006504994869627111,1.9363346461875226e-06,0.0001933040075763846,0.00017772822926559212,0.00037652249372553237,4.547582886658541e-05,6.453599320959334e-05,0.0001762848411107345,5.7455271788842176e-05,7.230323340955032e-05,0.00012280669216388864,0.000205719460046774,0.00011286487652172031,0.00015085304288493302,7.619310397901658e-05,0.00014524527996937256,6.849499021181998e-05,0.00015136433132204762,5.908235480071548e-05,4.719736664704129e-05,4.179667461638351e-05,4.447928729189512e-05,3.422610733018237e-05,4.980359967572719e-05,3.5314108049078725e-05,5.9555854588200954e-05,3.596976226993131e-05
hw_pdf4lhc_unc_4,0.0006439966677769561,1.9628724387732674e-06,0.00018248831420429243,0.00017599309579720984,0.0003753790200817643,4.537765408212746e-05,6.44688453427529e-05,0.00017555314529981068,5.737226732445108e-05,7.222423298096746e-05,0.00012260689246919876,0.00020448454621260916,0.0001126405475719131,0.0001495082184740896,7.594548675732691e-05,0.0001434118278615902,6.837251590269756e-05,0.00014836692031239867,5.903461957536272e-05,4.704105355759011e-05,4.170766160215458e-05,4.4282611722452987e-05,3.415637082623641e-05,4.953142813516295e-05,3.525308190626295e-05,5.948834270645076e-05,3.593637195760489e-05
hw_pdf4lhc_unc_5,0.0006452570782637514,1.944293613647039e-06,0.00018448865281028154,0.00017597636664004748,0.00037538931681181025,4.535288493536379e-05,6.425102716097602e-05,0.00017490966836452069,5.738374585446426e-05,7.217968763894631e-05,0.0001223027408495478,0.0002042363670500331,0.00011250772158866764,0.00014992834049784101,7.612754124582844e-05,0.00014444836005064464,6.872984592402599e-05,0.00015038157296846152,5.953014751614234e-05,4.7094948105698165e-05,4.1772162777396237e-05,4.447596274718424e-05,3.4298740626376155e-05,4.991125870061987e-05,3.550341913683171e-05,6.012597906594442e-05,3.628650541919401e-05
hw_pdf4lhc_unc_6,0.000643347358624314,1.992776551218337e-06,0.00017977161503195715,0.0001755321392094246,0.000375405328463517,4.5348051824449036e-05,6.434207396480851e-05,0.0001750100087460465,5.736102730349266e-05,7.222224696734638e-05,0.00012247816362335426,0.00020443779315237133,0.00011270214579346043,0.0001507977473488232,7.605898751358589e-05,0.00014359020044237757,6.860175860148368e-05,0.00014816322935087847,5.941213907697371e-05,4.70402678014064e-05,4.174534986009596e-05,4.434905565599755e-05,3.426366806604484e-05,4.969079370021613e-05,3.538703504884351e-05,5.9622142665409176e-05,3.60653774624453e-05
hw_pdf4lhc_unc_7,0.0006433596733412539,1.9669102797611826e-06,0.0001819985919541635,0.0001755732940974671,0.0003749605043306387,4.5312673177323905e-05,6.429476406833561e-05,0.00017495801058985952,5.733768622336775e-05,7.216226353747757e-05,0.00012235066170641348,0.0002041280612628004,0.00011251551150917587,0.00014943824510549764,7.601959749256074e-05,0.0001436455811957438,6.857451903792696e-05,0.00014877242819491107,5.9296382667869895e-05,4.702085193914748e-05,4.1726979120227136e-05,4.433592398524374e-05,3.4233593500985705e-05,4.967064850689401e-05,3.5368674233004216e-05,5.9709983930375124e-05,3.6099904681640624e-05
hw_pdf4lhc_unc_8,0.000644638963959313,1.9587185041732765e-06,0.0001835843915005578,0.00017598311988075655,0.00037531438881992414,4.535303559666498e-05,6.43363359456986e-05,0.00017518343409631977,5.7380241341649176e-05,7.21979833394321e-05,0.00012245127238141808,0.00020443692632928021,0.00011263344066548706,0.0001499387797317868,7.609885869371149e-05,0.00014401055638004165,6.858674909737586e-05,0.00014914644032118794,5.9223233812421896e-05,4.708482663377646e-05,4.176607150183022e-05,4.43987914358471e-05,3.425442368610939e-05,4.974728529005589e-05,3.5376850077768195e-05,5.963620414514052e-05,3.604545783034101e-05
